"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Key Findings on Adherence","Accuracy and Measurement Validity","Health Outcomes"
"“I Must Try Harder”: Design Implications for Mobile Apps and Wearables Contributing to Self-Efficacy of Patients With Chronic Conditions","https://scispace.com/paper/i-must-try-harder-design-implications-for-mobile-apps-and-3wmrehny7u","2019","Journal Article","Frontiers in Psychology","Sharon Wulfovich
Maddalena Fiordelli
Homero Rivas
Waldo Concepcion
Katarzyna Wac","10.3389/FPSYG.2019.02388","https://scispace.com/pdf/i-must-try-harder-design-implications-for-mobile-apps-and-3wmrehny7u.pdf","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Shows that wearables can improve self‑management and wellbeing for chronic patients, but only suggests design refinements; adherence and accuracy are only briefly mentioned.","Background Diverse wellness-promoting mobile health technologies, including mobile apps and wearable trackers, became increasingly popular due to their ability to support patients' self-management of health conditions. However, the patient's acceptance and use depend on the perceived experience and the app appropriateness to the patient's context and needs. We have some understating of the experience and factors influencing the use of these technologies in the general public, but we have a limited understanding of these issues in patients. Objective By presenting results from an explorative study, this paper aims to identify implications for the design of mobile apps and wearables to effectively support patients' efforts in self-management of health with a special emphasis on support for self-efficacy of activities contributing to health. Methods An explorative mixed-method study involving 200 chronically ill patients of Stanford Medical Center (Stanford, CA, United States) was conducted between mid-2016 and end of 2018. Amongst these, 20 patients were involved in a 4-weeks study, in which we collected the underlying wearable device use logs (e.g., Fitbit) and subjective use experience [via an Ecological Momentary Assessment (EMA)], as well as patients' momentary perception of general self-efficacy in their natural environments and different daily contexts. Results The results indicate that mobile apps for health and wearables have the potential to enable better self-management and improve patients' wellbeing but must be further refined to address different human aspects of their use. Specifically, the apps/wearables should be easier to use, more personalized and context-aware for the patient's overall routine and lifestyle choices, as well as with respect to the momentary patient state (e.g., location, type of people around) and health(care) needs. Additionally, apps and devices should be more battery efficient and accurate; providing timely, non-judgmental feedback and personalized advice to the patients anywhere-anytime-anyhow. These results are mapped on major sources of the individuals' self-efficacy. Conclusion Our results show how the apps/wearables that are aimed at supporting the patients' self-management should be designed to leverage and further improve the patients' general self-efficacy and self-efficacy of activities contributing to chronic disease management.","The paper states that some patients (n=18) tried or had some experience with self-management technologies but did not use them regularly at the time of the study or plan to use them in the future. Reasons for non-adherence included privacy concerns, complexity, and not being ""techie."" Some participants dropped wearable use due to inaccuracy or unreliability. The study also mentions that participants who had a wearable were not frequently checking mobile apps. Specific adherence rates or dropout percentages for sustained use are not provided.","The paper notes that users are aware of potential inaccuracies in activity trackers and sometimes forget to take them along. Participants observed devices providing erroneous data, such as registering steps while driving, or having low accuracy for Chinese input recognition and inaccurate GPS. Some users stopped using wearables due to unreliability, like when a Fitbit did not accurately account for biking. One participant compared their Fitbit to a husband's Garmin and found it inaccurate.","The paper indicates that mobile apps and wearables have the potential to enable better self-management and improve patients' wellbeing. A 7-week self-management program with a self-efficacy focus led to statistically significant improvements in health status, self-efficacy, and health behaviors, and fewer emergency department visits. The study also notes that self-management plays a role in reducing disease exacerbations and improving adherence to rehabilitation. Specific clinical outcomes like HbA1c or blood pressure, and quantitative results for these, are not reported for wearable device use."
"Exploring the Potential of Wearable Electronics for Healthcare Monitoring and Diagnosis","https://scispace.com/paper/exploring-the-potential-of-wearable-electronics-for-3flaehah","2022","Journal Article","The Philippine statistician  (Quezon City)","J.B. Kandpal","10.17762/msea.v71i2.2195","https://scispace.com/pdf/exploring-the-potential-of-wearable-electronics-for-3flaehah.pdf","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Discusses wearables for chronic disease monitoring and mentions compliance benefits, accuracy concerns, and potential outcome improvements, but lacks detailed adherence studies, accuracy evaluations, or outcome data.","Chronic diseases kill many Humans in all over the world. Monitor risk factors including physical exercise to manage these illnesses. Wearables like Fitbit can track and give health data to help users make decisions. Most wearables marketing targets the young, active, and most populous racial groups. Wearable electronics can revolutionize healthcare by continuously monitoring health factors. Sensor technology, data processing, and communication protocols have made wearable gadgets useful for healthcare monitoring and diagnosis. This article discusses sensors, data processing, and communication protocols used in wearable electronics to revolutionize healthcare monitoring and diagnosis. A side-by-side table compares each method's pros and cons. The topic covers wearable electronics processing for healthcare monitoring and diagnosis. A block architecture and graphic explain healthcare monitoring and diagnosis using wearable electronics. Wearable electronics adoption is often hampered by concerns regarding data privacy and security, data reliability, and healthcare system compatibility. Wearable electronics are revolutionizing medicine in numerous ways, from monitoring chronic illnesses to giving emergency treatment. Wearable tech could develop into artificial intelligence, machine learning, augmented reality, virtual reality, cutting-edge sensors, telemedicine, 5G networks, nanotechnology, and blockchain. Finally, wearable electronics research could improve patient outcomes and quality of life, transforming healthcare.","Not addressed in this paper. The document discusses the potential of wearables for continuous monitoring and patient engagement, noting that ease of use can improve patient compliance. However, it does not provide specific findings on adherence rates, dropout rates, or duration of sustained use for wearable health devices in chronic disease management, nor does it include quantitative adherence data.","Wearable devices face challenges in accuracy and reliability, which are essential for effective diagnosis and treatment. While some papers mention the need for improved accuracy and reliability in monitoring various parameters like vital signs, cardiovascular parameters, glucose levels, physical activity, sleep, and fall detection, specific validation methods, comparison to gold standards, measurement errors, limits of agreement, or reported accuracy metrics (e.g., sensitivity, specificity, correlation coefficients) are not detailed.","Wearables aid in early detection of changes suggesting worsening chronic conditions like diabetes, heart disease, and hypertension. They provide immediate results, prompting patients to manage their health. Wearables monitor activity levels, providing feedback on steps taken or calories burned. Continuous monitoring of physiological indicators enhances patient outcomes and quality of life. The paper notes that wearable electronics research could improve patient outcomes and quality of life, transforming healthcare. Specific quantitative results, behavioral outcomes like medication adherence, or defined short-term/long-term time frames are not explicitly detailed."
"Automated classification of hand gestures using a wristband and machine learning for possible application in pill intake monitoring","https://scispace.com/paper/automated-classification-of-hand-gestures-using-a-wristband-1de8f05k","2022","Journal Article","Computer Methods and Programs in Biomedicine","Sara Moccia
Sarah Solbiati
Mahshad Khornegah
F. Bossi
Enrico G. Caiani","10.1016/j.cmpb.2022.106753","https://scispace.com/pdf/automated-classification-of-hand-gestures-using-a-wristband-1de8f05k.pdf","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses a wristband sensor and ML to monitor medication intake, addressing adherence in chronic disease; includes classification accuracy but provides no health outcome data.","","The paper focuses on monitoring medical adherence by recognizing hand gestures using a wristband. It highlights poor medication adherence as a common problem in patients with chronic diseases. While the study aims to pave the way for medical devices monitoring adherence, it does not report specific adherence rates, dropout rates, factors affecting adherence, or duration of sustained use for wearable health devices.","The study evaluated machine learning and deep learning algorithms for hand gesture classification from wrist accelerometers and gyroscopes. The highest performance was achieved using a convolutional neural network with long-short term memory (CNN-LSTM), with a median f1-score of 90.5% for multi-gesture and 92.5% for binary classification. Leave-one-subject-out cross-validation was performed for robust performance assessment. Precision, recall, f1-score, and balanced accuracy were computed.","This paper focuses on hand gesture classification for monitoring medical adherence, not on health outcomes from wearable device use in chronic disease management. It highlights that poor medication adherence leads to hospital readmissions and medical complications, with increased healthcare expenses, but does not report specific clinical or behavioral outcomes (e.g., HbA1c, blood pressure, physical activity) or quality of life measures from wearable device interventions. The study's aim is to recognize gestures related to pill intake.

Not reported."
"Smart Wearable Technologies for Chronic Disease Monitoring and Management","https://scispace.com/paper/smart-wearable-technologies-for-chronic-disease-monitoring-g6w17wmpd7no","2025","Journal Article","","Poonam B. Kulkarni
Mayuri Molawade
Bharat P. Kulkarni
Reena Lokare","10.1109/icft66708.2025.11336801","","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Discusses smart wearables for chronic disease monitoring and reports 95% model accuracy; mentions improved lifestyle but lacks detailed health outcome data.","Integrating Smart wearable devices with Internet of Things (IoT) hold substantial potential for transforming chronic disease management, providing instantaneous monitoring, personalized involvements, and enhanced patient engagement. This study examines that the combination of Smart Wearable Systems and lOT is tremendously making advancement in healthcare for management of chronic diseases. The amalgamation of loT in smart wearable healthcare technologies makes possible distant patient nursing, custom-made attention, and effective information communication, eventually exceeding current restrictions of health section and resulting in improved and healthier lifestyle of patient. This paper reviews technologies, benefits and challenges of Smart Wearable Technologies for Chronic Disease Monitoring and Management The objective of this paper is to focus on how smart wearable devices can be used for continuous health monitoring for better chronic disease management in combination with loT technologies. The experimental results shown using EDA shows the model's accuracy up to 95% which shows need of further improvement as suggested in future directions.","Not reported. The paper discusses the potential of smart wearables and IoT for chronic disease management, highlighting benefits and challenges, and mentions experimental results with 95% accuracy for a model. However, it does not provide specific findings on patient adherence rates, dropout rates, factors affecting adherence, or duration of sustained use of these devices.","The experimental results show the model's accuracy up to 95%. The paper suggests a need for further improvement. Specific validation methods, comparison to gold standards, measurement errors, limits of agreement, sensitivity, specificity, or correlation coefficients are not explicitly detailed in the metadata beyond the 95% accuracy figure.","The study highlights that smart wearable systems with IoT lead to an improved and healthier lifestyle for patients. It mentions enhanced patient engagement and personalized involvements. The experimental results show the model's accuracy up to 95%. Specific clinical outcomes, behavioral outcomes, quality of life measures, or time frames studied are not detailed beyond these general statements."
"Wearable health technology in personalized care: Its role in disease prevention and monitoring","https://scispace.com/paper/wearable-health-technology-in-personalized-care-its-role-in-k79qfq397xzf","2025","Journal Article","E3S web of conferences","Nur Shanti Retno Pembayun
Ananda Perwira Bakti
Muhammad Arif Rakhman
Nieke Andina Wijaya
Billy Jordan Wrahatnala
Merika Soraya
Alviannur Halim","10.1051/e3sconf/202564003006","","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Shows measurable health outcome improvements (cardiovascular, metabolic) from wearables in chronic disease management; mentions user retention challenges but lacks explicit accuracy discussion.","Wearable health technology is an emerging pillar in precision medicine and personalized healthcare, enabling continuous real-time monitoring of physiological and biochemical indicators. This systematic literature review aims to assess the technology’s clinical efficacy, implementation challenges, and global equity implications in preventing diseases and personalized care. Twelve peer-reviewed studies published between 2018 and 2025 were selected based on PRISMA guidelines from four major databases. The analysis revealed measurable improvements in cardiovascular outcomes, chronic disease self-management, and metabolic risk reduction, with consistent benefits across both high-income and low-and middle-income countries (LMICs). Furthermore, the study highlights unique challenges in user retention, data validation, and regulatory integration. A comparative domain-based synthesis table is provided to emphasize the novelty of this review, offering an integrated view across clinical domains and socio-economic contexts. This study contributes to the development of evidence-based strategies for integrating wearable health technology into equitable, AI-supported healthcare systems worldwide. ","The analysis revealed measurable improvements in chronic disease self-management. However, the study highlights unique challenges in user retention. Specific adherence rates, dropout rates, factors affecting adherence beyond user retention, or duration of sustained use are not explicitly reported in quantitative terms.","Not reported.","Measurable improvements were found in cardiovascular outcomes, chronic disease self-management, and metabolic risk reduction. Consistent benefits were observed across high-income and low-and middle-income countries. Specific clinical outcomes like HbA1c or blood pressure, behavioral outcomes, quality of life measures, and time frames studied are not explicitly detailed. Quantitative results for these specific outcomes are not reported."""
"Exploring the impact of wearable health devices on chronic disease management","https://scispace.com/paper/VwhcLQeVpVUJ","","","","ABK Okeme
O Akeju
LA Enyejo","","https://www.researchgate.net/profile/Arome-Okeme/publication/389397033_Exploring_the_Impact_of_Wearable_Health_Devices_on_Chronic_Disease_Management/links/67c0e2f7f5cb8f70d5c2fb5c/Exploring-the-Impact-of-Wearable-Health-Devices-on-Chronic-Disease-Management.pdf","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Discusses wearable health devices for chronic disease management, highlighting accuracy; mentions hypertension use but lacks explicit adherence or detailed health outcome results.","","Not available in metadata.","The effectiveness of wearable health devices is largely driven by their accuracy and sensitivity. The metadata indicates that accuracy is highlighted as a key factor.","The metadata indicates that the paper explores the impact of wearable health devices on chronic disease management and mentions the use of wearable devices in hypertension management. It highlights the importance of accuracy and sensitivity for effectiveness. However, specific short-term or long-term clinical outcomes (like HbA1c, blood pressure, hospitalizations), behavioral outcomes (physical activity, medication adherence), or quality of life measures with quantitative results are not reported. Time frames studied are also not available."
"Surface Chemistry-Enhanced Wearable Biosensors: A Novel Approach for Non-Invasive Continuous Health Monitoring","https://scispace.com/paper/surface-chemistry-enhanced-wearable-biosensors-a-novel-cgmjga03gk9u","2024","Journal Article","International journal of social sciences and public administration","Zhuo Chen","10.62051/ijsspa.v5n1.21","https://scispace.compdf/surface-chemistry-enhanced-wearable-biosensors-a-novel-cgmjga03gk9u.pdf","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Explores surface‑chemistry‑enhanced wearable biosensors for chronic disease monitoring, noting improved sensor accuracy; lacks discussion of patient adherence and concrete health outcome data.","With the rise of health concerns in recent years, wearable biosensors have gained widespread attention as an important technology for health monitoring. It can monitor human physiological indicators such as blood glucose and lactate. This type of monitoring does not require complex operations or frequent sampling and is non-invasive and capable of real-time monitoring. Chemically modified electrochemical biosensors have further improved the sensitivity and selectivity of monitoring and have the potential for a wider range of applications. In this paper, we will explore the application of surface chemically enhanced wearable sensors for non-invasive health monitoring and their future directions. ","The paper highlights that wearable sensors play a key role in managing chronic diseases, with continuous monitoring aiding in early detection and enhancing overall disease management. It notes that non-invasive, continuous monitoring wearable devices will help improve the accuracy of chronic disease management. However, the document does not provide specific findings on patient adherence rates, dropout rates, factors affecting adherence, or duration of sustained use for wearable health devices.","Chemically modified electrochemical biosensors have improved sensitivity and selectivity, enabling highly sensitive detection of biomarkers at low concentrations. Nanomaterials dramatically improve accuracy and sensitivity, offering high sensitivity and a broad detection range. Surface chemical enhancement technology has significantly improved sensor sensitivity and stability, particularly for glucose detection at low concentrations. Wearable sweat sensors aim for high accuracy, precision, stability, and repeatability. However, long-term stability and durability remain critical challenges due to biological contamination or aging of surface modification materials.","Wearable electrochemical sensors aid in early detection of complications, enhancing overall disease management. They enable physicians to remotely track patients' health and make timely adjustments to treatment plans, facilitating proactive and personalized management of chronic conditions. Continuous monitoring improves accuracy in chronic disease management. For diabetic patients, these sensors provide real-time continuous glucose monitoring, avoiding traditional invasive blood collection. Real-time lactate monitoring helps athletes analyze training and avoid overtraining."
"A review of wearable technology in healthcare: Monitoring patient health and enhancing outcomes","https://scispace.com/paper/a-review-of-wearable-technology-in-healthcare-monitoring-1bwkc717zg","2024","Journal Article","Open access research journal of multidisciplinary studies","Ehizogie Paul Adeghe
Chioma Anthonia Okolo
Olumuyiwa Tolulope Ojeyinka","10.53022/oarjms.2024.7.1.0019","","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Examines wearables for chronic disease management, highlighting reduced readmissions and personalized care; discusses adherence generally but lacks accuracy analysis.","Wearable technology has emerged as a transformative force in the healthcare landscape, reshaping the way patient health is monitored and healthcare outcomes are enhanced. The paper delves into various types of wearables, including fitness trackers, smartwatches, and medical wearables, elucidating their functionalities and applications in the healthcare domain. The review emphasizes the profound influence of wearable technology on patient monitoring, encompassing continuous health tracking, remote patient monitoring, and chronic disease management. Through real-time data collection and analysis, wearables enable early detection of health abnormalities and empower healthcare providers to offer timely interventions, thereby reducing hospital readmissions. The role of wearables in chronic disease management is examined, showcasing their potential in tailoring personalized treatment plans and facilitating proactive health management. Furthermore, the paper explores the broader implications of wearable technology in enhancing healthcare outcomes. Wearables contribute to improved patient engagement by providing individuals with access to their health data, fostering a sense of empowerment and accountability. The review underscores the shift towards personalized healthcare, where wearables play a pivotal role in tailoring treatment plans based on individual health data and leveraging predictive analytics for disease prevention. Despite the promising advancements, challenges such as data security, privacy concerns, and integration with existing healthcare systems are discussed. Strategies to address these challenges and enhance user adoption and adherence to wearable technology are explored, recognizing the importance of a holistic approach in realizing the full potential of wearables in healthcare. This review serves as a comprehensive guide for researchers, healthcare providers, and policymakers, offering insights into the evolving landscape of wearable technology and its profound impact on monitoring patient health and improving healthcare outcomes.","The review discusses strategies to enhance user adoption and adherence to wearable technology, recognizing the importance of a holistic approach. However, specific findings related to patient adherence rates, dropout rates, or quantitative data on the duration of sustained use in chronic disease management are not reported. Factors affecting adherence are broadly mentioned as challenges like data security, privacy concerns, and integration with existing healthcare systems.","Not reported. The provided metadata discusses the functionalities and applications of wearables, their influence on patient monitoring, and challenges like data security and privacy. However, it does not include specific findings regarding accuracy, measurement validity, reliability, validation methods, comparison to gold standards, measurement errors, or specific accuracy metrics of wearable health devices.","Wearables enable early detection of health abnormalities and empower healthcare providers to offer timely interventions, thereby reducing hospital readmissions. They facilitate personalized treatment plans and proactive health management in chronic diseases. Wearables contribute to improved patient engagement by providing access to health data, fostering empowerment and accountability. The paper underscores their role in tailoring treatment plans based on individual health data and leveraging predictive analytics for disease prevention. Specific quantitative results, time frames, or detailed clinical/behavioral outcomes for chronic disease management are not reported."
"Wearable technology and physical activity behavior change in adults with chronic cardiometabolic disease: a systematic review and meta-analysis","https://scispace.com/paper/wearable-technology-and-physical-activity-behavior-change-in-4l4sk6uskn","2019","Journal Article","American Journal of Health Promotion","Megan A. Kirk
Mohammad Amiri
Meysam Pirbaglou
Paul Ritvo
Paul Ritvo","10.1177/0890117118816278","https://www.academia.edu/download/96310922/089011711881627820221225-1-o3eqq2.pdf","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Evaluates wearable device interventions (e.g., Fitbit) to improve physical activity (steps/day, MVPA) in adults with chronic cardiometabolic disease; limited discussion of adherence and only brief mention of device accuracy.","Objective:To evaluate the effectiveness of wearable device interventions (eg, Fitbit) to improve physical activity (PA) outcomes (eg, steps/day, moderate to vigorous physical activity [MVPA]) in po...","Not available in metadata.","Not available in metadata.","Wearable devices positively impact physical health in clinical populations with cardiometabolic diseases. The intervention improves physical activity (PA) outcomes, such as steps/day and moderate to vigorous physical activity (MVPA). Future research using current technologies will amplify these findings. Specific time frames, clinical outcomes like HbA1c or blood pressure, medication adherence, and quality of life measures are not reported in the metadata."
"The Impact of Wearable Devices on Public Health Outcomes in The Treatment of Chronic Diseases Through Continuous Physiological Monitoring","https://scispace.com/paper/the-impact-of-wearable-devices-on-public-health-outcomes-in-587he1jlyylp","2024","Journal Article","South Eastern European Journal of Public Health","Sanjay Kumar
Priti Sharma","10.70135/seejph.vi.875","","- **Relevance Score:** 60/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Investigates wearables' effect on health outcomes in chronic disease patients, but does not discuss adherence or accuracy of the devices.","Chronic illnesses contribute to elevated levels of disability and death. The active involvement of patients in the treatment of chronic diseases is a crucial element of healthcare systems that are focused on chronic diseases. Wearable devices provide real-time health information focused on the patient, enabling them to make informed decisions about self-management. Although wearables are believed to offer advantages in enhancing the self-management of chronic illnesses, their impact on healthcare outcomes still needs to be well comprehended. This study sought to investigate the effect of wearables on healthcare results in adults with chronic conditions by conducting a comprehensive analysis of existing evidence for physiological monitoring. A narrative systematic literature review was performed by searching six databases for randomized and observational research published from January 2018 to July 2023. These studies focused on utilizing a wearable intervention in a group of individuals with chronic diseases to evaluate its effect on a predetermined end measure. The outcomes were defined as any impact on patient or practitioner experience, cost-effectiveness, or healthcare outcomes resulting from the wearable intervention. The findings from the research included in the analysis were gathered according to 6 main themes, which were used as the foundation for a qualitative summary. This research adhered to the requirements outlined in the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) declaration. ","Not reported. The study focused on the impact of wearables on healthcare outcomes, patient/practitioner experience, and cost-effectiveness, gathering findings according to 6 main themes. It conducted a narrative systematic literature review on physiological monitoring, but specific details on patient adherence rates, dropout rates, factors affecting adherence, or duration of sustained use were not provided in the metadata.","Not reported. The metadata indicates the study investigated the effect of wearables on healthcare results through continuous physiological monitoring, analyzing existing evidence, but does not detail specific findings on accuracy, measurement validity, or reliability metrics of the devices themselves.","Not reported. The study investigated the effect of wearables on healthcare results, defined as any impact on patient or practitioner experience, cost-effectiveness, or healthcare outcomes. It gathered findings according to 6 main themes for a qualitative summary, but specific clinical, behavioral, or quality of life outcomes with quantitative results or time frames are not detailed in the metadata."
"The Influence of Wearables on Health Care Outcomes in Chronic Disease: Systematic Review","https://scispace.com/paper/the-influence-of-wearables-on-health-care-outcomes-in-2q2mx4y5","2022","Journal Article","Journal of Medical Internet Research","Graeme Mattison
Oliver J. Canfell
Douglas J. Forrester
Chelsea Dobbins
Daniel Smith
Juha Töyräs
Clair Sullivan","10.2196/36690","https://scispace.com/pdf/the-influence-of-wearables-on-health-care-outcomes-in-2q2mx4y5.pdf","- **Relevance Score:** 60/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Reviews wearables' impact on chronic disease health outcomes, reporting mixed effects; does not examine patient adherence or device accuracy.","Background Chronic diseases contribute to high rates of disability and mortality. Patient engagement in chronic disease self-management is an essential component of chronic disease models of health care. Wearables provide patient-centered health data in real time, which can help inform self-management decision-making. Despite the perceived benefits of wearables in improving chronic disease self-management, their influence on health care outcomes remains poorly understood. Objective This review aimed to examine the influence of wearables on health care outcomes in individuals with chronic diseases through a systematic review of the literature. Methods A narrative systematic review was conducted by searching 6 databases for randomized and observational studies published between January 1, 2016, and July 1, 2021, that included the use of a wearable intervention in a chronic disease group to assess its impact on a predefined outcome measure. These outcomes were defined as any influence on the patient or clinician experience, cost-effectiveness, or health care outcomes as a result of the wearable intervention. Data from the included studies were extracted based on 6 key themes, which formed the basis for a narrative qualitative synthesis. All outcomes were mapped against each component of the Quadruple Aim of health care. The guidelines of the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) statement were followed in this study. Results A total of 30 articles were included; studies reported 2446 participants (mean age: range 10.1-74.4 years), and the influence of 14 types of wearables on 18 chronic diseases was presented. The most studied chronic diseases were type 2 diabetes (4/30, 13%), Parkinson disease (3/30, 10%), and chronic lower back pain (3/30, 10%). The results were mixed when assessing the impact on a predefined primary outcome, with 50% (15/30) of studies finding a positive influence on the studied outcome and 50% (15/30) demonstrating a nil effect. There was a positive effect of 3D virtual reality systems on chronic pain in 7% (2/30) of studies that evaluated 2 distinct chronic pain syndromes. Mixed results were observed in influencing exercise capacity; weight; and biomarkers of disease, such as hemoglobin A1c, in diabetes. In total, 155 outcomes were studied. Most (139/155, 89.7%) addressed the health care outcomes component. This included pain (11/155, 7.5%), quality of life (7/155, 4.8%), and physical function (5/155, 3.4%). Approximately 7.7% (12/155) of outcome measures represented the patient experience component, with 1.3% (2/155) addressing the clinician experience and cost. Conclusions Given their popularity and capability, wearables may play an integral role in chronic disease management. However, further research is required to generate a strong evidence base for safe and effective implementation. Trial Registration PROSPERO International Prospective Register of Systematic Reviews CRD42021244562; https://www.crd.york.ac.uk/prospero/display_record.php?RecordID=244562","The paper notes mixed results regarding adherence. For example, a study on intelligent insoles for diabetic foot ulcer prevention found good adherence to technology use. Another study on pedometer-guided exercise in COPD showed 53% adherence to prescribed step count targets. However, a study on metabolic syndrome reported 32 participants had communication issues between the wearable and mobile apps, leading to withdrawal. Overall, the paper does not provide a comprehensive overview of adherence rates or factors affecting sustained use across all studies.","","Wearables showed mixed results on health outcomes in chronic disease. Positive effects included improved shoulder extension rotation in stroke (6 weeks), reduced neuropathic pain with 3D VR (8 weeks), improved 6-minute walk test in juvenile idiopathic arthritis, and increased step count in rheumatoid arthritis. A multifaceted system reduced systolic blood pressure at 4 and 12 weeks. Pedometer use improved grip strength at 4 months in overweight adults. Significant weight loss was observed at 4 weeks in obstructive sleep apnea. Some studies found no significant differences in HbA1c, weight loss, or physical activity."
"Real‐Time Chronic Disease Management with Smart Devices Integrating Internet‐of‐Things Technology in Healthcare Applications","https://scispace.com/paper/real-time-chronic-disease-management-with-smart-devices-6um1ijzhf2w1","2026","Journal Article","","S. T. Thorat
Y. Inamdar Sharifnawaj","10.1002/9781394389131.ch22","","- **Relevance Score:** 60/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses IoT-enabled wearables to monitor chronic diseases, notes adherence tracking and improved outcomes, but provides no accuracy evaluation.","Real-time chronic disease management is an important part of modern healthcare because it lets doctors keep an eye on patients with long-term conditions, act quickly when needed, and help those patients have better results. Putting Internet-of-Things (IoT) technology into smart devices could help improve the control of chronic diseases by collecting data in real time, giving personalized feedback, and letting doctors keep an eye on things from afar. Wearable tech, like smartwatches, fitness trackers, and medical-grade sensors, lets patients and doctors keep an eye on vital signs, symptoms, and patterns of behavior that are important for controlling long-term illnesses like diabetes, heart disease, asthma, and high blood pressure. The Internet of Things (IoT) makes it possible for personal technology and central healthcare systems to talk to each other without any problems. It also provides a flexible and responsive way to share data. This combination makes it possible to keep an eye on important things like blood pressure, oxygen consumption, heart rate, blood sugar levels, and physical exercise. IoT-enabled gadgets can also keep track of how well patients are following their treatments, find early signs of getting worse, and guess what health risks might be coming up through data analytics and machine learning algorithms. The real-time data that these gadgets produce lets healthcare professionals make smart, data-driven choices that improve the accuracy and speed of actions. For patients, the constant tracking and instant feedback make them more involved in self-care, which leads to better disease control and taking medications as prescribed. Additionally, the ability to watch patients from afar cuts down on the need for frequent in-person meetings, making this option to standard healthcare methods easier and more cost-effective. ","*   Real-time data from IoT-enabled gadgets make patients more involved in self-care, leading to better disease control and taking medications as prescribed.
*   IoT-enabled gadgets can keep track of how well patients are following their treatments.","Not available in metadata.","*   Better patient self-care and disease control.
*   Improved treatment adherence.
*   Better results for patients with long-term conditions.
*   Healthcare professionals make smart, data-driven choices.
*   Reduced need for frequent in-person meetings, making it more cost-effective."
