"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","CNN Architecture and Performance Metrics"
"Deep Learning for Diabetic Retinopathy Detection and Classification Based on Fundus Images","https://scispace.com/paper/deep-learning-for-diabetic-retinopathy-detection-and-pw1bqe4df5po","2025","Repository","","","10.5281/zenodo.15334139","","- **Relevance Score:** 93/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses VGGNet, ResNet, and DenseNet to classify diabetic retinopathy from retinal fundus images, training on Kaggle and MESSIDOR datasets. Lacks specific performance metrics like sensitivity or AUC.","Diabetic Retinopathy (DR) is a serious complication caused by diabetes that affects the retina, leading to potential blindness if not treated early. This paper explores how deep learning models can be used to automatically detect and classify DR from retinal fundus images. The approach uses various con- volutionalneural networks (CNNs) including VGGNet, ResNet, and DenseNet, trained on large public datasets like Kaggle and MESSIDOR. The aim is to develop a reliable, efficient, and accurate system that supports early detection and clinical screening of DR, reducing the global burden of vision loss. ",""
"Deep Learning Approaches for Detecting Diabetic Retinopathy using CNN Models","https://scispace.com/paper/deep-learning-approaches-for-detecting-diabetic-retinopathy-2spwxh7y","2022","Proceedings Article","","M. Krishnan
S. Ramya
K. Kirubanathavalli
S. Lalitha
J. Diofrin
M. Thanjai Vadivel","10.1109/ICACRS55517.2022.10029234","","- **Relevance Score:** 93/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses VGG-16 and VGG-19 CNNs to classify retinal fundus images for diabetic retinopathy, reporting sensitivity, precision, specificity, and AUC. Fails to specify the datasets used for training.","Chronic diabetes is linked to diabetic retinopathy (DR), an eye condition. Is therefore predicted will be even more than DR affects 93 million populations? Making it the main source of vision among adults of working age. Early detection of DR is essential for preventing severe vision loss; however, this may be challenging since the condition often displays no indications until it's too late to give effective therapy. Retinal fundus views in digitized RGB are now examined and evaluated by ophthalmologists or qualified physicians to identify DR through the presence of lesions associated with the disease's pathological changes, a procedure that is both time-consuming and labor-intensive. The development of DR may be controlled or managed by using the computerized method of diagnostic testing to expedite detection and consideration. The previous techniques used to Support Vector Machine and Probabilistic Neural Network techniques are poor results. This research work provides an automated classification method, which uses a convolutional neural network, VGG-16, as well as VGG-19 machine learning methods were used to analyze fundus images with varying illumination and sectors of vision and produce a seriousness grading for diabetic retinopathy (DR). Classifying pictures 80% sensitive, 82% precision, 82% specific, and a range of 0 to 4, where 0 represents no DR and 4 represents proliferative DR 0.904 AUC is an impressive feat for this system.",""
"Automated identification and grading system of diabetic retinopathy using deep neural networks","https://scispace.com/paper/automated-identification-and-grading-system-of-diabetic-35p2ibse0d","2019","Journal Article","Knowledge Based Systems","Wei Zhang
Jie Zhong
Shijun Yang
Zhentao Gao
Junjie Hu
Yuanyuan Chen
Zhang Yi","10.1016/J.KNOSYS.2019.03.016","","- **Relevance Score:** 93/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses DeepDR, an ensemble of CNNs, to detect diabetic retinopathy from fundus images. It reports sensitivity, specificity, and AUC, but lacks detailed descriptions of specific datasets or architecture comparisons.","Diabetic retinopathy (DR) is a major cause of human vision loss worldwide. Slowing down the progress of the disease requires early screening. However, the clinical diagnosis of DR presents a considerable challenge in low-resource settings where few ophthalmologists are available to care for all patients with diabetes. In this study, an automated DR identification and grading system called DeepDR is proposed. DeepDR directly detects the presence and severity of DR from fundus images via transfer learning and ensemble learning. It comprises a set of state-of-the-art neural networks based on combinations of popular convolutional neural networks and customised standard deep neural networks. The DeepDR system is developed by constructing a high-quality dataset of DR medical images and then labelled by clinical ophthalmologists. We further explore the relationship between the number of ideal component classifiers and the number of class labels, as well as the effects of different combinations of component classifiers on the best integration performance to construct an optimal model. We evaluate the models on the basis of validity and reliability using nine metrics. Results show that the identification model performs best with a sensitivity of 97.5%, a specificity of 97.7% and an area under the curve of 97.7%. Meanwhile, the grading model achieves a sensitivity of 98.1% and a specificity of 98.9%. On the basis of the methods above, DeepDR can detect DR satisfactorily. Experiment results indicate the importance and effectiveness of the ideal number and combinations of component classifiers in relation to model performance. DeepDR provides reproducible and consistent detection results with high sensitivity and specificity instantaneously. Hence, this work provides ophthalmologists with insights into the diagnostic process.",""
"Comparative Evaluations of Deep Learning Models for Diabetic Retinopathy Classification","https://scispace.com/paper/comparative-evaluations-of-deep-learning-models-for-diabetic-i8gilcjxx6ss","2025","Journal Article","International Journal For Science Technology And Engineering","Shreya Basu
Abhijit Banerjee","10.22214/ijraset.2025.72624","","- **Relevance Score:** 93/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Compares VGG16, ResNet50, InceptionV3, and EfficientNet on two retinal imaging datasets for diabetic retinopathy classification. Lacks sensitivity, specificity, and AUC metrics, reporting only accuracy.","This study aims to find the best fit algorithm for well-known disease Retinopathy caused by diabetes through a Deep Learning approach on two datasets. Methods: Four Deep Learning methods are employed on the datasets of Diabetic Retinopathy. The methods applied on the grayscale image files. Here, the image files from the dataset are divided into three parts: training- 80%, validation test -10% and test data-10%. We use the following preprocessing techniques to improve model generalization and address issues caused by sparse and unbalanced datasets: resize (aspect ratio), crop, normalize, augment (rotate,zoom,flipping). These techniques replicate realistic variations in retinal images and lessen overfitting. Our goal is to have clean, limited noise and test data to evaluate the model accurately. The dataset has been trained using the following methods: VGG16, ResNet50, InceptionV3 and EfficientNet correspondingly. Findings: From the above methods on the dataset-1, accuracy found from ResNet50 stood highest and on the dataset-2, accuracy found from Inception-v3 stood highest among the others. Novelty: To test generalizability and robustness, this study compares four significant convolutional neural network architectures for diabetic retinopathy classification across two heterogeneous retinal imaging datasets. Our work explores crossdataset performance, model efficiency and clinically important metrics, providing useful insights for real-world deployment, in contrast to previous studies that were restricted to single-dataset evaluations. ",""
"A Lightweight Robust Deep Learning Model Gained High Accuracy in Classifying a Wide Range of Diabetic Retinopathy Images","https://scispace.com/paper/a-lightweight-robust-deep-learning-model-gained-high-tfdgq90k","","Journal Article","IEEE Access","Kaniz Fatema
Inam Ullah Khan
Sami Azam
Md. Rafi Ur Rashid
Md. Saddam Hossain Mukta
Mirjam Jonkman
Friso De Boer","10.1109/ACCESS.2023.3272228","","- **Relevance Score:** 93/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a custom RetNet-10 CNN to classify diabetic retinopathy in fundus images, comparing performance against six architectures (MobileNetV2, VGG16, Xception, VGG19, InceptionV3, ResNet50) using merged APTOS, Messidor2, and IDRiD datasets.","Diabetic retinopathy (DR) is a common complication of diabetes mellitus, and retinal blood vessel damage can lead to vision loss and blindness if not recognized at an early stage. Manual DR detection using large fundus image data is time-consuming and error-prone. An effective automatic DR detection system can be significantly faster and potentially more accurate. This study aims to classify fundus images into five DR classes, using deep learning methods, with the highest possible accuracy and the lowest possible computational time. Three distinct DR datasets, APTOS, Messidor2, and IDRiD, are merged, resulting in 5,819 raw images. Before training the model, various image preprocessing techniques are applied to remove artifacts and noise from the images and improve their quality. Three augmentation techniques: geometric, photometric, and elastic deformation, are used to create a balanced dataset. A shallow convolutional neural network (CNN) is developed using three blocks of convolutional layers and maxpool layers with a categorical cross-entropy loss function, Adam optimizer, 0.0001 learning rate, and 64 batch size as a base model, and this is also employed to determine the best data augmentation method for further processing. A study to optimize the performance is then conducted by changing different components and hyperparameters of the base model, resulting in our proposed RetNet-10 model. Six cutting-edge models are employed for comparison. Our proposed RetNet-10 model performed the best, with a testing accuracy of 98.65%. MobileNetV2, VGG16, Xception, VGG19, InceptionV3 and ResNet50 achieved testing accuracies of 91.42%, 90.16%,89.57%, 88.21%, 87.68% and 87.23%, respectively. The model is also trained with several k values to assess its robustness. After image processing and data augmentation, using the combined dataset, and fine-tuning the base model, our proposed RetNet-10 model outperformed other automated methods for DR diagnosis.",""
"Grading Diabetic Retinopathy Using Transfer Learning-Based Convolutional Neural Networks","https://scispace.com/paper/grading-diabetic-retinopathy-using-transfer-learning-based-5aei1pliol","","Journal Article","","José Escorcia-Gutierrez
Jose Cuello
A. Margarita R. Gamarra
Pere Romero-Aroca
Eduardo Caicedo Bravo
A. Valls
Domenec Puig","10.1007/978-3-031-42823-4_18","","- **Relevance Score:** 93/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses VGG-16 and other CNN architectures to grade diabetic retinopathy from fundus images in the APTOS database, though it reports only accuracy rather than sensitivity, specificity, or AUC.","Diabetic Retinopathy (DR) is a disease that affect the retina, consequence of a diabetes complication. An accurate an on time diagnosis could delay severe damage in the eye or vision loss. Currently, the diagnosis is supported by a retinography and visual evaluation by a trained clinician. However, retinography evaluation is a difficult task due to differences in contrast, brightness and the presence of artifacts. In this work we propose a convolutional neural network (CNN) model to detect and grading DR to support the diagnosis from a fundus image. Moreover, we used the transfer learning technique to reuse the first layers from deep neural networks previously trained. We carried out experiments using different convolutional architectures and their performance for DR grading was evaluated on the APTOS database. The VGG-16 was the architecture with higher results, overcoming the other networks and other related works. The best experimentation we obtained reached an accuracy value of 83.52% for DR grading tasks. Experimental results show that the CNN based transfer learning achieve high performance taking the knowledge learning from pretrained network and saving computational time in the training process, which turns out suitable for small dataset as DR medical images. ",""
"A Comparative Study of Convolutional Layer Depths and Activation Functions in the Detection and Classification of Diabetic Retinopathy","https://scispace.com/paper/a-comparative-study-of-convolutional-layer-depths-and-xtr1xydyso5a","2025","Journal Article","","Saxon Vandenwollenberg
S. Chitte
Sudipta Modak
Esam Abdel-Raheem","10.1109/icm66518.2025.11321330","","- **Relevance Score:** 93/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses CNNs to classify diabetic retinopathy in retinal images, comparing custom architectures against pretrained models using Eyepacs, Aptos, and Messidor datasets. Lacks sensitivity, specificity, and AUC metrics.","Traditional diabetic retinopathy diagnosis is a timeconsuming approach and is limited by the availability of specialists. Deep learning systems are a solution to the constraints, as they can efficiently and accurately detect anomalies in large datasets of retinal images. This work presents a comparative study of convolutional neural networks trained from scratch compared to traditional pretrained models in the field of diabetic retinopathy classification. In this work, four mid-range models are presented that display how different combinations of convolutions, activation functions, and layer depths can be used to achieve high performance in diabetic retinopathy classification without large-scale pretraining. Furthermore, the test performances of these models are compared to several pretrained models in the field to investigate how different architectures affect the accuracy of binary classification. The models are trained and tested on open-source datasets such as Eyepacs, Aptos, Aptos (Gaussian Filtered), and Messidor DR. The highest test accuracy achieved is 87.60 % for the presence of diabetic retinopathy versus the absence of diabetic retinopathy and 88.38 % for the distinction between non-proliferative diabetic retinopathy and proliferative diabetic retinopathy. ",""
"Diabetic Retinopathy Severity Classification Using Data Fusion and Ensemble Transfer Learning","https://scispace.com/paper/diabetic-retinopathy-severity-classification-using-data-3vatz6o6g5rj","2025","Journal Article","Journal of Software Engineering and Applications","Shabib Aftab
Samia Akhtar","10.4236/jsea.2025.181001","","- **Relevance Score:** 93/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses EfficientNetB2, DenseNet121, and ResNet50 to classify diabetic retinopathy from fused fundus images. Lacks explicit mention of sensitivity, specificity, or AUC metrics in the provided abstract.","Diabetic retinopathy is a serious concern for people dealing with diabetes. Detecting diabetic retinopathy poses significant challenges, requiring skilled professionals, extensive manual image processing, and considerable time investment. Fortunately, the integration of deep learning and transfer learning offers invaluable assistance to medical practitioners. This study introduces an ensemble classification framework to detect and grade diabetic retinopathy into 5 classes leveraging the concepts of transfer learning and data fusion. It utilizes three benchmark datasets on diabetic retinopathy: APTOS 2019, IDRiD, and Messidor-2. Initially, these datasets are merged, resulting in a total of 5922 fundus images. Then this fused dataset undergoes pre-processing. Firstly, the images are cropped to remove unwanted regions. Then, Contrast Limited Adaptive Histogram Equalization is applied to improve image quality and fine details. To tackle class imbalance issues, Synthetic Minority Over Sampling technique is employed. Additionally, data augmentation techniques such as flipping, rotation, and zooming are used to increase dataset diversity. The dataset is split into training, validation, and testing sets at a ratio of 70:10:20. For classification, three pre-trained CNN models, EfficientNetB2, DenseNet121, and ResNet50, are fine-tuned. After these models are trained, an ensemble model is constructed by averaging the predictions of each model. Results show that the ensemble model achieved the highest test accuracy of 96.96% in grading diabetic retinopathy into 5 classes outperforming the individual pre-trained models. Furthermore, the ensemble model's performance is compared with previously published approaches where this model demonstrated superior result. ",""
"DRCNN-Lesion Proxy: a hybrid CNN with lesion-inspired feature simulation for diabetic retinopathy severity classification","https://scispace.com/paper/drcnn-lesion-proxy-a-hybrid-cnn-with-lesion-inspired-feature-3eh4f296b46b","2025","Journal Article","Dental science reports","Priyadharshini Sekar
Ramaswamy Krishnaraj
Priyadharshini Sekar
Ramaswamy Krishnaraj","10.1038/s41598-025-21337-3","https://scispace.compdf/drcnn-lesion-proxy-a-hybrid-cnn-with-lesion-inspired-feature-3eh4f296b46b.pdf","- **Relevance Score:** 93/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a ResNet34-based hybrid CNN to classify diabetic retinopathy severity. Performance metrics include AUC and F1-score, but sensitivity and specificity are not explicitly reported.","Diabetic Retinopathy (DR) remains a leading cause of vision loss globally, necessitating accurate and scalable diagnostic solutions. Existing Deep Learning (DL) models often underutilize lesion-specific cues that are critical for early DR grading, while detection based models require costly lesion annotations. To address these limitations, we propose DRCNN-Lesion Proxy, a hybrid architecture that integrates a ResNet34 based CNN backbone for extracting global image level features with a Lesion Proxy Module, which simulates lesion-inspired cues without explicit lesion bounding box annotations. These heterogeneous features are fused through a late fusion classification head to enable robust multiclass DR severity prediction. The model was trained on a composite dataset and rigorously evaluated across six publicly available benchmarks namely EyePACS, Messidor-2, APTOS 2019, DDR, DIARETDB1, and IDRiD. Experimental findings show that the proposed framework consistently outperforms baseline CNNs and recent hybrid methods, achieving up to 98.37% accuracy, 97.28% F1-score, and 98.14% AUC. Statistical significance testing confirmed that these improvements were not due to chance. Furthermore, Grad-CAM visualizations highlighted clinically relevant retinal regions, and a pilot validation with three ophthalmologists on 20 cases reported mean scores above 3.5 out of 5, confirming that the explanations were perceived as clinically meaningful and useful for grading. The proposed framework provides an annotation light solution with strong generalizability, diagnostic precision, and clinically validated interpretability, advancing the state of the art in automated DR screening and offering a practical pathway for real world deployment.",""
"Classification of Diabetic Retinopathy using Pre-Trained Deep Learning Models","https://scispace.com/paper/classification-of-diabetic-retinopathy-using-pre-trained-2r86eo6zlj","2024","Journal Article","arXiv.org","Inas Al-Kamachy
Reza Hassanpour
Roya Choupani","10.48550/arxiv.2403.19905","","- **Relevance Score:** 93/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses CNNs (MobileNet, VGG-16, InceptionV3, InceptionResNetV2) to classify fundus images into five DR stages. Performance metrics are limited to AUC; dataset details are mentioned only as Kaggle.","Diabetic Retinopathy (DR) stands as the leading cause of blindness globally, particularly affecting individuals between the ages of 20 and 70. This paper presents a Computer-Aided Diagnosis (CAD) system designed for the automatic classification of retinal images into five distinct classes: Normal, Mild, Moderate, Severe, and Proliferative Diabetic Retinopathy (PDR). The proposed system leverages Convolutional Neural Networks (CNNs) employing pre-trained deep learning models. Through the application of fine-tuning techniques, our model is trained on fundus images of diabetic retinopathy with resolutions of 350x350x3 and 224x224x3. Experimental results obtained on the Kaggle platform, utilizing resources comprising 4 CPUs, 17 GB RAM, and 1 GB Disk, demonstrate the efficacy of our approach. The achieved Area Under the Curve (AUC) values for CNN, MobileNet, VGG-16, InceptionV3, and InceptionResNetV2 models are 0.50, 0.70, 0.53, 0.63, and 0.69, respectively.",""
"Enhancing Diabetic Retinopathy Detection Accuracy with Convolutional Neural Networks","https://scispace.com/paper/enhancing-diabetic-retinopathy-detection-accuracy-with-6733xmquyg5g","2024","Journal Article","Engineer","H. M. L. S. Kumari
Chamila Walgampaya","10.4038/engineer.v57i3.7655","","- **Relevance Score:** 93/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses DenseNet121, 169, 201, ResNet50, and InceptionV3 to classify five stages of diabetic retinopathy from Kaggle and APTOS fundus image datasets, achieving 98.56% accuracy.","Diabetic Retinopathy (DR) has emerged as a major illness that makes diabetic patients blind worldwide. If this disease is not treated promptly, it can progress to permanent blindness. Having the ability to identify people with DR rapidly will be beneficial for both medical professionals and researchers. In the current situation, manually analysing each minute nerve cell from fundus pictures is extremely time-consuming for clinicians. This paper not only concentrates on diabetic retinopathy detection but also on the analysis of DR progression in the given fundus image, which is performed with the help of data augmentation, Convolutional Neural network and transfer learning algorithms. Deep learning models DenseNet121, DenseNet169, DenseNet201, Resnet50, and InceptionV3 models are used on the Diabetic Retinopathy dataset in Kaggle and APTOS. Five DR stages, which are no DR, mild DR, moderate DR, severe DR and proliferate DR, are handled in this work. The fundus images of the eye are used as input to the model. The most robust model in the evaluations, DenseNet201, achieved an accuracy of approximately 98.56% for the APTOS dataset and 97.14% for the Diabetic Retinopathy dataset in Kaggle. These results were obtained using 5-fold stratified cross-validation and hyperparameter tuning, for detecting retinopathy and assessing its stage. ",""
"Performance of a deep learning system for detection of referable
  diabetic retinopathy in real clinical settings","https://scispace.com/paper/performance-of-a-deep-learning-system-for-detection-of-3sa6w5oo","2022","Posted Content","","","10.48550/arxiv.2205.05554","https://scispace.com/pdf/performance-of-a-deep-learning-system-for-detection-of-3sa6w5oo.pdf","- **Relevance Score:** 93/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Evaluates the RetCAD deep learning system on 7,195 nonmydriatic fundus images, reporting an AUC of 0.988, 90.53% sensitivity, and 97.13% specificity for detecting referable diabetic retinopathy.","Background: To determine the ability of a commercially available deep learning system, RetCAD v.1.3.1 (Thirona, Nijmegen, The Netherlands) for the automatic detection of referable diabetic retinopathy (DR) on a dataset of colour fundus images acquired during routine clinical practice in a tertiary hospital screening program, analyzing the reduction of workload that can be released incorporating this artificial intelligence-based technology. Methods: Evaluation of the software was performed on a dataset of 7195 nonmydriatic fundus images from 6325 eyes of 3189 diabetic patients attending our screening program between February to December of 2019. The software generated a DR severity score for each colour fundus image which was combined into an eye-level score. This score was then compared with a reference standard as set by a human expert using receiver operating characteristic (ROC) curve analysis. Results: The artificial intelligence (AI) software achieved an area under the ROC curve (AUC) value of 0.988 [0.981:0.993] for the detection of referable DR. At the proposed operating point, the sensitivity of the RetCAD software for DR is 90.53% and specificity is 97.13%. A workload reduction of 96% could be achieved at the cost of only 6 false negatives. Conclusions: The AI software correctly identified the vast majority of referable DR cases, with a workload reduction of 96% of the cases that would need to be checked, while missing almost no true cases, so it may therefore be used as an instrument for triage. ",""
"Automated Diagnosis of Diabetic Retinopathy Using Deep Learning: On the Search of Segmented Retinal Blood Vessel Images for Better Performance","https://scispace.com/paper/automated-diagnosis-of-diabetic-retinopathy-using-deep-2vtbp9kr","2023","Journal Article","Bioengineering","Mohammad Badhruddouza Khan
Mohiuddin Ahmad
Shamshul Bahar Yaakob
Rahat Shahrior
M. A. Rashid","10.3390/bioengineering10040413","https://scispace.com/pdf/automated-diagnosis-of-diabetic-retinopathy-using-deep-2vtbp9kr.pdf","- **Relevance Score:** 93/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Compares Inception v3 and DenseNet-121 architectures on original and segmented retinal fundus images to diagnose diabetic retinopathy, finding original images yield higher accuracy than segmented blood vessel images.","Diabetic retinopathy is one of the most significant retinal diseases that can lead to blindness. As a result, it is critical to receive a prompt diagnosis of the disease. Manual screening can result in misdiagnosis due to human error and limited human capability. In such cases, using a deep learning-based automated diagnosis of the disease could aid in early detection and treatment. In deep learning-based analysis, the original and segmented blood vessels are typically used for diagnosis. However, it is still unclear which approach is superior. In this study, a comparison of two deep learning approaches (Inception v3 and DenseNet-121) was performed on two different datasets of colored images and segmented images. The study’s findings revealed that the accuracy for original images on both Inception v3 and DenseNet-121 equaled 0.8 or higher, whereas the segmented retinal blood vessels under both approaches provided an accuracy of just greater than 0.6, demonstrating that the segmented vessels do not add much utility to the deep learning-based analysis. The study’s findings show that the original-colored images are more significant in diagnosing retinopathy than the extracted retinal blood vessels.",""
"Convolutional neural networks for mild diabetic retinopathy detection: an experimental study","https://scispace.com/paper/convolutional-neural-networks-for-mild-diabetic-retinopathy-1nizokndv9","2019","Posted Content","bioRxiv","Rubina Sarki
Sandra Michalska
Khandakar Ahmed
Hua Wang
Yanchun Zhang","10.1101/763136","https://scispace.com/pdf/convolutional-neural-networks-for-mild-diabetic-retinopathy-1nizokndv9.pdf","- **Relevance Score:** 93/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses 13 CNN architectures to detect mild diabetic retinopathy in fundus images from Messidor and Kaggle datasets; fails to report sensitivity, specificity, or AUC metrics.","Currently, Diabetes and the associated Diabetic Retinopathy (DR) instances are increasing at an alarming rate. Numerous previous research has focused on automated DR detection from fundus photography. The classification of severe cases of pathological indications in the eye has achieved over 90% accuracy. Still, the mild cases are challenging to detect due to CNN inability to identify the subtle features, discrimnative of disease. The data used (i.e. annotated fundus photographies) was obtained from 2 publicly available sources – Messidor and Kaggle. The experiments were conducted with 13 Convolutional Neural Networks architectures, pre-trained on large-scale ImageNet database using the concept of Transfer Learning. Several performance improvement techniques were applied, such as: (i) fine-tuning, (ii) data augmentation, and (iii) volume increase. The results were measured against the standard Accuracy metric on the testing dataset. After the extensive experimentation, the maximum Accuracy of 86% on No DR/Mild DR classification task was obtained for ResNet50 model with fine-tuning (un-freeze and re-train the layers from 100 onwards), and RMSProp Optimiser trained on the combined Messidor + Kaggle (aug) datasets. Despite promising results, Deep learning continues to be an empirical approach that requires extensive experimentation in order to arrive at the most optimal solution. The comprehensive evaluation of numerous CNN architectures was conducted in order to facilitate an early DR detection. Furthermore, several performance improvement techniques were assessed to address the CNN limitation in subtle eye lesions identification. The model also included various levels of image quality (low/high resolution, under/over-exposure, out-of-focus etc.), in order to prove its robustness and ability to adapt to real-world conditions.",""
"Multi-label classification of fundus images based on graph convolutional network.","https://scispace.com/paper/multi-label-classification-of-fundus-images-based-on-graph-3utntjg4zj","2021","Journal Article","BMC Medical Informatics and Decision Making","Yinlin Cheng
Mengnan Ma
Xingyu Li
Yi Zhou","10.1186/S12911-021-01424-X","https://scispace.com/pdf/multi-label-classification-of-fundus-images-based-on-graph-3utntjg4zj.pdf","- **Relevance Score:** 93/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a graph convolutional network to detect 8 types of fundus lesions, including those related to diabetic retinopathy, using a custom dataset of 7459 images and reporting AUC metrics.","Diabetic Retinopathy (DR) is the most common and serious microvascular complication in the diabetic population. Using computer-aided diagnosis from the fundus images has become a method of detecting retinal diseases, but the detection of multiple lesions is still a difficult point in current research. This study proposed a multi-label classification method based on the graph convolutional network (GCN), so as to detect 8 types of fundus lesions in color fundus images. We collected 7459 fundus images (1887 left eyes, 1966 right eyes) from 2282 patients (1283 women, 999 men), and labeled 8 types of lesions, laser scars, drusen, cup disc ratio (
 $$C/D>0.6$$
 ), hemorrhages, retinal arteriosclerosis, microaneurysms, hard exudates and soft exudates. We constructed a specialized corpus of the related fundus lesions. A multi-label classification algorithm for fundus images was proposed based on the corpus, and the collected data were trained. The average overall F1 Score (OF1) and the average per-class F1 Score (CF1) of the model were 0.808 and 0.792 respectively. The area under the ROC curve (AUC) of our proposed model reached 0.986, 0.954, 0.946, 0.957, 0.952, 0.889, 0.937 and 0.926 for detecting laser scars, drusen, cup disc ratio, hemorrhages, retinal arteriosclerosis, microaneurysms, hard exudates and soft exudates, respectively. Our results demonstrated that our proposed model can detect a variety of lesions in the color images of the fundus, which lays a foundation for assisting doctors in diagnosis and makes it possible to carry out rapid and efficient large-scale screening of fundus lesions.",""
"Deep Learning based Early Detection and Grading of Diabetic Retinopathy Using Retinal Fundus Images.","https://scispace.com/paper/deep-learning-based-early-detection-and-grading-of-diabetic-26ukpg3x2l","2018","Book Chapter","arXiv: Computer Vision and Pattern Recognition","Sheikh Muhammad Saiful Islam
Mahedi Hasan
Sohaib Abdullah","10.1201/9781003031352-6","https://scispace.compdf/deep-learning-based-early-detection-and-grading-of-diabetic-26ukpg3x2l.pdf","- **Relevance Score:** 93/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a custom CNN architecture on the Kaggle DR dataset to detect diabetic retinopathy in retinal fundus images, reporting sensitivity, specificity, and AUC metrics.","Diabetic retinopathy (DR) is a constantly deteriorating disease, being one of the leading causes of vision impairment and blindness. Subtle distinction among different grades and existence of many significant small features make the task of recognition very challenging. Early-stage detection of DR is very important for diagnosis, which can prevent blindness with proper treatment. In this chapter, we have developed a novel deep convolutional neural network), which performs the early-stage detection by identifying all microaneurysms, the first signs of DR, along with correctly assigning labels to retinal fundus images into five categories. We have tested our network on the largest publicly available Kaggle DR dataset and have achieved a state-of-the-art performance of 0:851 quadratic weighted kappa score and 0:844 AUC AU: Please define “AUC”. score on severity grading. In the early-stage detection, we have achieved a sensitivity of 98% and specificity of above 94%, which demonstrates the effectiveness of our proposed method. Our proposed architecture is very simple and efficient with respect to computational time and space at the same time.",""
