"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Different fundus imaging modalities and technical factors in AI screening for diabetic retinopathy: a review.","https://scispace.com/paper/32313813","2020","Journal Article","Eye and vision (London, England)","Lim
Bellemo
Xie
Lee
Yip
Ting","10.1186/s40662-020-00182-7","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7155252/pdf","Effective screening is a desirable method for the early detection and successful treatment for diabetic retinopathy, and fundus photography is currently the dominant medium for retinal imaging due to its convenience and accessibility. Manual screening using fundus photographs has however involved considerable costs for patients, clinicians and national health systems, which has limited its application particularly in less-developed countries. The advent of artificial intelligence, and in particular deep learning techniques, has however raised the possibility of widespread automated screening."
"Deep learning-based detection and stage grading for optimising diagnosis of diabetic retinopathy.","https://scispace.com/paper/33713564","2021","Journal Article","Diabetes/metabolism research and reviews","Wang
Yu
Hu
Jin
Li
Zhang
Zhang
Gong
Wu
Zhang
Yang
Li
Yuan
Mo
Wei
Zhao
Ding
Yang
Li
Yu
Chen","10.1002/dmrr.3445","","To establish an automated method for identifying referable diabetic retinopathy (DR), defined as moderate nonproliferative DR and above, using deep learning-based lesion detection and stage grading."
"Risk Stratification for Diabetic Retinopathy Screening Order Using Deep Learning: A Multicenter Prospective Study.","https://scispace.com/paper/38079169","2023","Journal Article","Translational vision science & technology","Bora
Tiwari
Bavishi
Virmani
Huang
Traynis
Corrado
Peng
Webster
Varadarajan
Pattanapongpaiboon
Chopra
Ruamviboonsuk","10.1167/tvst.12.12.11","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10715315/pdf","Real-world evaluation of a deep learning model that prioritizes patients based on risk of progression to moderate or worse (MOD+) diabetic retinopathy (DR)."
"Automated diabetic retinopathy screening for primary care settings using deep learning.","https://scispace.com/paper/35528965","2021","Journal Article","Intelligence-based medicine","Bhuiyan
Govindaiah
Deobhakta
Hossain
Rosen
Smith","10.1016/j.ibmed.2021.100045","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9071157/pdf","Diabetic Retinopathy (DR) is one of the leading causes of blindness in the United States and other high-income countries. Early detection is key to prevention, which could be achieved effectively with a fully automated screening tool performing well on clinically relevant measures in primary care settings. We have built an artificial intelligence-based tool on a cloud-based platform for large-scale screening of DR as referable or non-referable. In this paper, we aim to validate this tool built using deep learning based techniques. The cloud-based screening model was developed and tested using deep learning techniques with 88702 images from the Kaggle dataset and externally validated using 1748 high-resolution images of the retina (or fundus images) from the Messidor-2 dataset. For validation in the primary care settings, 264 images were taken prospectively from two diabetes clinics in Queens, New York. The images were uploaded to the cloud-based software for testing the automated system as compared to expert ophthalmologists' evaluations of referable DR. Measures used were area under the curve (AUC), sensitivity, and specificity of the screening model with respect to professional graders. The screening system achieved a high sensitivity of 99.21% and a specificity of 97.59% on the Kaggle test dataset with an AUC of 0.9992. The system was also externally validated in Messidor-2, where it achieved a sensitivity of 97.63% and a specificity of 99.49% (AUC, 0.9985). On primary care data, the sensitivity was 92.3% overall (12/13 referable images are correctly identified), and overall specificity was 94.8% (233/251 non-referable images). The proposed DR screening tool achieves state-of-the-art performance among the publicly available datasets: Kaggle and Messidor-2 to the best of our knowledge. The performance on various clinically relevant measures demonstrates that the tool is suitable for screening and early diagnosis of DR in primary care settings."
"Artificial intelligence for retinal diseases.","https://scispace.com/paper/39209215","2024","Journal Article","Asia-Pacific journal of ophthalmology (Philadelphia, Pa.)","Lim
Rachitskaya
Hallak
Gholami
Alam","10.1016/j.apjo.2024.100096","","To discuss the worldwide applications and potential impact of artificial intelligence (AI) for the diagnosis, management and analysis of treatment outcomes of common retinal diseases."
"Diabetic Retinopathy Screening Using Artificial Intelligence and Handheld Smartphone-Based Retinal Camera.","https://scispace.com/paper/33435711","2022","Journal Article","Journal of diabetes science and technology","Malerbi
Andrade
Morales
Stuchi
Lencione
de Paulo
Carvalho
Nunes
Rocha
Ferraz
Belfort","10.1177/1932296820985567","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9294565/pdf","Portable retinal cameras and deep learning (DL) algorithms are novel tools adopted by diabetic retinopathy (DR) screening programs. Our objective is to evaluate the diagnostic accuracy of a DL algorithm and the performance of portable handheld retinal cameras in the detection of DR in a large and heterogenous type 2 diabetes population in a real-world, high burden setting."
"Deep learning algorithms for detection of diabetic retinopathy in retinal fundus photographs: A systematic review and meta-analysis.","https://scispace.com/paper/32088490","2020","Journal Article","Computer methods and programs in biomedicine","Islam
Yang
Poly
Jian
Jack Li","10.1016/j.cmpb.2020.105320","","Diabetic retinopathy (DR) is one of the leading causes of blindness globally. Earlier detection and timely treatment of DR are desirable to reduce the incidence and progression of vision loss. Currently, deep learning (DL) approaches have offered better performance in detecting DR from retinal fundus images. We, therefore, performed a systematic review with a meta-analysis of relevant studies to quantify the performance of DL algorithms for detecting DR."
"Prospective validation of deep-learning algorithms for diabetic retinopathy screening: A systematic review and meta-analysis.","https://scispace.com/paper/41344407","2026","Journal Article","Survey of ophthalmology","Wang
Luo
Tu
Chou
Wu","10.1016/j.survophthal.2025.11.012","","Deep-learning (DL) algorithms are widely promoted for diabetic-retinopathy (DR) screening, yet their prospective diagnostic accuracy is not well defined. PubMed, EMBASE and ClinicalTrials.gov were searched to April, 2025, for prospective evaluations of DL systems using color-fundus images. Two reviewers screened records, extracted data, and applied QUADAS-2. Hierarchical bivariate random-effects models produced pooled sensitivity and specificity for referable and vision-threatening DR), analyzed separately at patient and eye level. Twenty-one prespecified moderators were explored with uni- and multi-variate meta-regression; publication bias was assessed with Deeks' test Seventy-three studies from 23 countries (255,330 examinations) met the criteria. Pooled patient-level sensitivity was 0.94 (95 % CI 0.92-0.95) and specificity 0.90 (95 % CI 0.87-0.93); eye-level values were 0.93 (95 % CI 0.91-0.95) and 0.94 (95 % CI 0.92-0.96). DR subtype, retinal-field strategy, camera form factor, and prevalence independently explained heterogeneity (p < 0.05). Performance matched or exceeded pivotal FDA trials (IDx-DR, EyeArt). AI gradability was ≥ 95 % in 60 % of cohorts, including handheld and smartphone systems. DL-based DR screening achieves consistent, high accuracy across devices and care settings, enabling scalable deployment in primary care, pharmacies, and mobile clinics. Quality assurance and ongoing monitoring are essential to maximize population-level benefits."
"Screening Referable Diabetic Retinopathy Using a Semi-automated Deep Learning Algorithm Assisted Approach.","https://scispace.com/paper/34901058","2021","Journal Article","Frontiers in medicine","Wang
Shi
Tan
Niu
Jiang
Xiong
Peng
He","10.3389/fmed.2021.740987","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8656222/pdf",""
"Deep image mining for diabetic retinopathy screening.","https://scispace.com/paper/28511066","2017","Journal Article","Medical image analysis","Quellec
Charrière
Boudi
Cochener
Lamard","10.1016/j.media.2017.04.012","","Deep learning is quickly becoming the leading methodology for medical image analysis. Given a large medical archive, where each image is associated with a diagnosis, efficient pathology detectors or classifiers can be trained with virtually no expert knowledge about the target pathologies. However, deep learning algorithms, including the popular ConvNets, are black boxes: little is known about the local patterns analyzed by ConvNets to make a decision at the image level. A solution is proposed in this paper to create heatmaps showing which pixels in images play a role in the image-level predictions. In other words, a ConvNet trained for image-level classification can be used to detect lesions as well. A generalization of the backpropagation method is proposed in order to train ConvNets that produce high-quality heatmaps. The proposed solution is applied to diabetic retinopathy (DR) screening in a dataset of almost 90,000 fundus photographs from the 2015 Kaggle Diabetic Retinopathy competition and a private dataset of almost 110,000 photographs (e-ophtha). For the task of detecting referable DR, very good detection performance was achieved: A"
