"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Weight Loss Outcomes","Cardiovascular Outcomes","Adverse Events"
"Impact of Semaglutide on fat mass, lean mass and muscle function in patients with obesity: The <scp>SEMALEAN</scp> study","https://scispace.com/paper/impact-of-semaglutide-on-fat-mass-lean-mass-and-muscle-g8jt7cbhz57k","2025","Journal Article","Diabetes, Obesity and Metabolism","Mathieu Alissou
Thomas Demangeat
Vanessa Folope
Hélène van Elslande
Hélène Lelandais
Julia Blanchemaison
Pierre-Emmanuel Cailleaux
Suzan Guney
Alexandra Aupetit
Clément Rapp
André Petit
Luc Vignal
Sebastien Grigioni
Pierre Déchelotte
Guillaume Colange
Moïse Coëffier
Najate Achamrah
Mathieu Alissou
Thomas Demangeat
Vanessa Folope
Hélène van Elslande
Hélène Lelandais
Julia Blanchemaison
Pierre-Emmanuel Cailleaux
Suzan Guney
Alexandra Aupetit
Clément Rapp
André Petit
Luc Vignal
Sebastien Grigioni
Pierre Déchelotte
Guillaume Colange
Moïse Coëffier
Najate Achamrah","10.1111/dom.70141","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses semaglutide in a prospective trial showing 10–13% body weight loss and improved muscle function and lean mass preservation","Abstract Aims Semaglutide, a GLP‐1 receptor agonist, has shown efficacy in promoting weight loss. However, limited data exist on its impact on lean mass, muscle function, and metabolic adaptations. The SEMALEAN study aims to evaluate these parameters in patients with obesity treated with Semaglutide (2.4 mg). Materials and Methods This prospective study enrolled 115 patients with obesity between February 2022 and November 2024. Body weight, body composition (measured by DXA), muscle function (handgrip strength), and resting energy expenditure (REE) were assessed at baseline (M0), 7 months (M7), and 12 months (M12). Subgroup analyses examined the impact of sex, type 2 diabetes, previous GLP‐1 use, and history of bariatric surgery. Results A total of 106 patients (68.9% female; mean BMI 46.3 kg/m 2 ) completed the study. Weight loss was significant, with mean reductions of 10% at M7 and 13% at M12; 59% of patients achieved ≥10% weight loss. Total fat mass decreased by 14% at M7 and 18% at M12, while lean mass initially declined (−3 kg at M7) but stabilised thereafter. Handgrip strength improved significantly (+4.5 kg at M12), and the prevalence of sarcopenic obesity decreased from 49% at baseline to 33% at M12. REE normalised to lean mass increased significantly from M7 to M12. Subgroup analyses revealed greater weight and fat mass loss in women, while patients with type 2 diabetes or prior GLP‐1 analogue use showed attenuated responses. Patients with a history of bariatric surgery exhibited the most pronounced reductions in body composition parameters. Conclusions The SEMALEAN study highlights the significant impact of Semaglutide 2.4 mg on weight loss, fat mass reduction, and muscle function improvement, with preserved lean mass and metabolic efficiency. These findings underscore the importance of a comprehensive approach to obesity management, addressing not only weight loss but also functional and metabolic adaptation. ","Semaglutide 2.4 mg treatment resulted in mean weight reductions of 10% at 7 months and 13% at 12 months. 59% of patients achieved ≥10% weight loss. No data on ≥5% or ≥15% weight loss or confidence intervals are available in the metadata.","No cardiovascular outcomes data reported. The study focused on weight loss, fat mass, lean mass, muscle function (handgrip strength), and resting energy expenditure in patients with obesity treated with Semaglutide 2.4 mg.","No adverse event data reported."
"Semaglutide: a game changer for metabolic diseases?","https://scispace.com/paper/semaglutide-a-game-changer-for-metabolic-diseases-n9qxp1hy","2022","Journal Article","Exploration of medicine","Agostino Milluzzo
L. Manuella
Laura Sciacca","10.37349/emed.2022.00083","https://scispace.com/pdf/semaglutide-a-game-changer-for-metabolic-diseases-n9qxp1hy.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses semaglutide’s weight‑loss effects, citing clinical trials (STEP 1, SUSTAIN 6) with reported 14.9% body‑weight reduction.","Semaglutide is a glucagon-like peptide 1 receptor agonist (GLP-1 RA) molecule approved for the treatment of both type 2 diabetes (T2D) and obesity. Semaglutide has a greater impact on glycated haemoglobin (HbA1c) reduction, compared to other GLP-1 RAs, and is the first molecule of this class available in oral formulation for T2D therapy, representing a useful option for subjects and physicians less prone to start an injective drug. Interestingly, due to its remarkable effects on weight reduction, higher than other GLP-1 RAs and very close to bariatric surgery, semaglutide is designated to change the approach to obesity therapy also in the subject not affected by diabetes. In addition to these favorable features, semaglutide, similarly to other GLP-1 RAs, offers beneficial effects on cardio-vascular (CV), renal, and liver protection, making this molecule an advantageous choice in the therapeutic management of “diabesity” (coexistence of both diabetes and obesity) and its co-morbidity.","In STEP 1 trial, injective semaglutide (2.4 mg once weekly) over 68 weeks resulted in a mean weight reduction of 15.3 kg (14.9%). Among subjects, 86% lost ≥5% of baseline weight, half achieved ≥15% reduction, and one-third lost ≥20%. Oral semaglutide led to a 4.5 kg mean weight reduction.","Semaglutide significantly reduced MACE (HR 0.74, P < 0.001 for non-inferiority, P = 0.02 for superiority), primarily by decreasing non-fatal stroke occurrence. The paper does not report specific hazard ratios or confidence intervals for cardiovascular death, myocardial infarction, or heart failure outcomes. Oral semaglutide showed non-inferiority for MACE (HR 0.79, P < 0.001) but not superiority (P = 0.17).","Semaglutide's most common side effects involve the digestive system, similar to other GLP-1 RAs. Injective semaglutide induced nausea (10-20%), vomiting or diarrhea (5-10%). Gastrointestinal side effects were more frequent with higher doses, suggesting a dose-escalation scheme to reduce discontinuation. An increased risk for cholelithiasis was observed (1.4% injective, 1.0% oral). Caution is advised for patients with proliferative diabetic retinopathy due to increased risk for retinal complications (HR 1.76, P = 0.02). Semaglutide carries a warning for thyroid C-cell cancer, contraindicated in those with a personal or family history of medullary thyroid cancer."
"Semaglutide for the treatment of overweight and obesity: A review","https://scispace.com/paper/semaglutide-for-the-treatment-of-overweight-and-obesity-a-gzlityzr","2022","Journal Article","Diabetes, Obesity and Metabolism","Natasha C. Bergmann
Melanie J. Davies
Ildiko Lingvay
Filip K. Knop","10.1111/dom.14863","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/dom.14863","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Reviews semaglutide’s effect, reporting 14.9‑17.4% mean weight loss in STEP trials and other percentage reductions, linking to clinical trial outcomes.","Obesity is a chronic, relapsing disease associated with multiple complications and a substantial morbidity, mortality and health care burden. Pharmacological treatments for obesity provide a valuable adjunct to lifestyle intervention, which often achieves only limited weight loss that is difficult to maintain. The Semaglutide Treatment Effect in People with obesity (STEP) clinical trial programme is evaluating once‐weekly subcutaneous semaglutide 2.4 mg (a glucagon‐like peptide‐1 analogue) in people with overweight or obesity. Across STEP 1, 3, 4 and 8, semaglutide 2.4 mg was associated with mean weight losses of 14.9%‐17.4% in individuals with overweight or obesity without type 2 diabetes from baseline to week 68; 69%‐79% of participants achieved ≥10% weight loss with semaglutide 2.4 mg (vs. 12%‐27% with placebo) and 51%‐64% achieved ≥15% weight loss (vs. 5%‐13% with placebo). In STEP 5, mean weight loss was −15.2% with semaglutide 2.4 mg versus −2.6% with placebo from baseline to week 104. In STEP 2 (individuals with overweight or obesity, and type 2 diabetes), mean weight loss was −9.6% with semaglutide 2.4 mg versus −3.4% with placebo from baseline to week 68. Improvements in cardiometabolic risk factors, including high blood pressure, atherogenic lipids and benefits on physical function and quality of life were seen with semaglutide 2.4 mg. The safety profile of semaglutide 2.4 mg was consistent across trials, primarily gastrointestinal adverse events. The magnitude of weight loss reported in the STEP trials offers the potential for clinically relevant improvement for individuals with obesity‐related diseases.","Once-weekly subcutaneous semaglutide 2.4 mg resulted in mean weight losses of 14.9%-17.4% from baseline to week 68 in individuals without type 2 diabetes (STEP 1, 3, 4, 8), and -15.2% to week 104 in STEP 5. 69%-79% achieved ≥10% weight loss, and 51%-64% achieved ≥15% weight loss. In STEP 2 (with type 2 diabetes), mean weight loss was -9.6% to week 68.","Improvements in cardiometabolic risk factors, including high blood pressure and atherogenic lipids, were seen with semaglutide 2.4 mg. No specific data on MACE, cardiovascular death, myocardial infarction, stroke, heart failure outcomes, or hazard ratios with confidence intervals is reported.","The safety profile of semaglutide 2.4 mg was consistent across trials, primarily gastrointestinal adverse events. No specific percentages or rates for gastrointestinal adverse events, discontinuation rates, or serious adverse events are provided in the metadata. No other notable safety concerns are mentioned."
"Weight Loss and Maintenance Related to the Mechanism of Action of Glucagon-Like Peptide 1 Receptor Agonists","https://scispace.com/paper/weight-loss-and-maintenance-related-to-the-mechanism-of-2davw2xzov","2021","Journal Article","Advances in Therapy","Jamy D. Ard
Angela K. Fitch
Sharon Fruh
Lawrence Herman","10.1007/S12325-021-01710-0","https://scispace.com/pdf/weight-loss-and-maintenance-related-to-the-mechanism-of-2davw2xzov.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses semaglutide’s trial‑based weight‑loss effects, reporting up to 16% body‑weight reduction in phase III studies.","Obesity is a chronic disease associated with many complications. Weight loss of 5–15% can improve many obesity-related complications. Despite the benefits of weight reduction, there are many challenges in losing weight and maintaining long-term weight loss. Pharmacotherapy can help people with obesity achieve and maintain their target weight loss, thereby reducing the risk of obesity-related complications. The prevalence of obesity in the USA has been increasing over the past few decades, and despite the availability of approved anti-obesity medications (AOMs), people with obesity may not be accessing or receiving treatment at levels consistent with the disease prevalence. Reasons for low levels of initiation and long-term use of AOMs may include reluctance of public health and medical organizations to recognize obesity as a disease, lack of reimbursement, provider inexperience, and misperceptions about the efficacy and safety of available treatments. This article aims to inform primary care providers about the mechanism of action of one class of AOMs, glucagon-like peptide 1 receptor agonists (GLP-1RAs), in weight loss and longer-term maintenance of weight loss, and the efficacy and safety of this treatment class. GLP-1RA therapy was initially developed to treat type 2 diabetes. Owing to their effectiveness in reducing body weight, once-daily subcutaneous administration of liraglutide 3.0 mg has been approved, and once-weekly subcutaneous administration of semaglutide 2.4 mg is being investigated in phase III trials, for obesity management. Considerations regarding adverse effects and contraindications for different drug classes are provided to help guide treatment decision-making when considering pharmacotherapy for weight management in patients with obesity. Obesity is a growing public health issue that increases the risk of developing heart disease, type 2 diabetes, and osteoarthritis. Weight loss can reduce the risk of developing these health problems but, despite this, levels of obesity remain high. Achieving and maintaining weight loss is challenging for many individuals. There is therefore a need for some patients to take medications to help them lose weight and prevent weight regain. Glucagon-like peptide 1 receptor agonists (GLP-1RAs) are a type of medication originally developed to treat type 2 diabetes, but are now being used for the treatment of obesity because they are effective at helping people to lose weight. One GLP-1RA, liraglutide, has been approved to treat obesity, and another, semaglutide, is in clinical trials. GLP-1RAs work by reducing the appetite and feelings of hunger, slowing the release of food from the stomach, and increasing feelings of fullness after eating. Most people can tolerate GLP-1RAs well. The most common side effects (nausea, vomiting, and diarrhea) are usually mild and occur in the first few weeks of treatment, reducing over time. Because of the difficulties many people face in maintaining weight loss, lifelong treatment may be needed. In clinical trials, GLP-1RAs were well tolerated and effective at helping people prevent weight regain, and may be a good option for long-term weight control and lowering patients’ chances of serious health problems.","Semaglutide 2.4 mg (once-weekly) showed a mean body weight reduction of 14.9% vs. -2.4% with placebo after 68 weeks (ETD 12.4%; 95% CI –13.4 to –11.5) in one study. Another study reported a 16.0% decrease with semaglutide vs. 5.7% with placebo, with an ETD of 10.3% (95% CI 12.0 to 8.6) over 68 weeks.","The ongoing SELECT study is investigating whether once-weekly semaglutide 2.4 mg will reduce the risk of having cardiovascular events in patients with overweight or obesity and with prior cardiovascular disease [61]. However, no specific cardiovascular outcomes data, MACE, cardiovascular death, myocardial infarction, stroke, heart failure outcomes, or hazard ratios with confidence intervals for semaglutide are reported in this paper.","Semaglutide 2.4 mg showed gastrointestinal adverse events (nausea, vomiting, diarrhea) occurring in up to 48.4%, 23.2%, and 23.1% of participants, respectively, which were mild-to-moderate and transient, predominantly during dose escalation. Discontinuation rates due to adverse events were low, ranging from 5.4% to 9.9%. No severe or blood glucose-confirmed symptomatic hypoglycemic events were reported with semaglutide 1.0 mg in adults without diabetes."
"Effects of once-weekly semaglutide in obese/overweight patients: A systematic review and meta-analysis","https://scispace.com/paper/effects-of-once-weekly-semaglutide-in-obese-overweight-1u4t0zdz","2022","Posted Content","","","10.21203/rs.3.rs-2346356/v1","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Analyzes semaglutide's effect, reporting a 10.88% body weight reduction and other outcomes across multiple RCTs.","Abstract Background: Pharmacological options for management of overweight or obesity in adults are limited, several large scale trials about semaglutide published recently require updated evidence synthesis. Objective： To investigate the safety and efficacy of once-weekly glucagon-like peptide-1 (GLP-1) receptor agonist semaglutide in patients with overweight or obesity. Methods: Database including PubMed, Embase, Cochrane Library, and Scopus were searched up until Jan 27, 2022. Randomised controlled trials with ≥12 weeks of treatment evaluating once-weekly semaglutide or placebo in obese/overweight adults. Primary outcome was change from baseline in weight. Secondary endpoints included proportion of patients achieving body weight targets and change from baseline in weight, body mass index (BMI), waist circumferences (WC), glucose, blood lipids and blood pressure levels, gastrointestinal adverse effects. Subgroup analysis was performed according to different dosages of semaglutide. Odds ratio (OR) and weighted mean difference (WMD) with 95% confidence intervals (CI) were used to evaluate the overall outcomes. Intertrial heterogeneity across studies was examined by I 2 and Q statistics. Results: Finally, 9 studies comprising a total of 5324 patients were included in the meta-analysis. Compared with placebo, semaglutide was more effective in reducing body weight (WMD: 5.52 kg, 95% CI:-7.35kg, -5.78kg, P &lt;0.00001) and percentage of body weight by 10.88% (95% CI:-12.98%, -8.79%). The proportion of patients achieving body weight targets was significantly higher in semaglutide-treated patients compared to placebo. Semaglutide also reduced BMI and WC, and benefited glycaemic, blood pressure and triglyceride regulation. And, semaglutide has a beneficial effect on health-related quality of life. However, the incidence of gastrointestinal side effects was significantly higher in patients treated with semaglutide. Conclusions: Once weekly semaglutide could be an optimal therapeutic choice for obesity or overweight patients. ","Semaglutide reduced the percentage of body weight by 10.88% (95% CI: -12.98%, -8.79%). It also led to a body weight reduction of 5.52 kg (95% CI: -7.35kg, -5.78kg). The proportion of patients achieving body weight targets was significantly higher with semaglutide compared to placebo, based on randomized controlled trials with ≥12 weeks of treatment. Specific percentages for ≥5%, ≥10%, ≥15% weight loss are not detailed.","No cardiovascular outcomes data reported. The paper mentions benefits for glycaemic, blood pressure, and triglyceride regulation, but does not report on MACE, cardiovascular death, myocardial infarction, stroke, heart failure outcomes, or hazard ratios.","The metadata states that the incidence of gastrointestinal side effects was significantly higher in patients treated with semaglutide. No specific percentages or rates for gastrointestinal adverse events, discontinuation rates due to adverse events, or serious adverse events are provided in the abstract. No other notable safety concerns are mentioned."
"Diabetes Mellitus and Heart Failure With Preserved Ejection Fraction: Role of Obesity","https://scispace.com/paper/diabetes-mellitus-and-heart-failure-with-preserved-ejection-1w8iwlm3","2022","Journal Article","Frontiers in Physiology","Aneesh Dhorepatil
Tariq Thannoun
Rohan Samson
Thierry H. Le Jemtel","10.3389/fphys.2021.785879","https://scispace.com/pdf/diabetes-mellitus-and-heart-failure-with-preserved-ejection-1w8iwlm3.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses semaglutide’s weight‑loss effects, citing STEP 1‑4 trials showing 10‑20% body‑weight reductions, thus meeting semaglutide, weight loss, clinical trial, and percent‑reduction criteria.","Heart failure with preserved ejection fraction is a growing epidemic and accounts for half of all patients with heart failure. Increasing prevalence, morbidity, and clinical inertia have spurred a rethinking of the pathophysiology of heart failure with preserved ejection fraction. Unlike heart failure with reduced ejection fraction, heart failure with preserved ejection fraction has distinct clinical phenotypes. The obese-diabetic phenotype is the most often encountered phenotype in clinical practice and shares the greatest burden of morbidity and mortality. Left ventricular remodeling plays a major role in its pathophysiology. Understanding the interplay of obesity, diabetes mellitus, and inflammation in the pathophysiology of left ventricular remodeling may help in the discovery of new therapeutic targets to improve clinical outcomes in heart failure with preserved ejection fraction. Anti-diabetic agents like glucagon-like-peptide 1 analogs and sodium-glucose co-transporter 2 are promising therapeutic modalities for the obese-diabetic phenotype of heart failure with preserved ejection fraction and aggressive weight loss via lifestyle or bariatric surgery is still key to reverse adverse left ventricular remodeling. This review focuses on the obese-diabetic phenotype of heart failure with preserved ejection fraction highlighting the interaction between obesity, diabetes, and coronary microvascular dysfunction in the development and progression of left ventricular remodeling. Recent therapeutic advances are reviewed.","Subcutaneous semaglutide reduced body weight by 10% in 75% of patients, 15% in 56% of patients, and 20% in 36% of patients. This was observed in successive steps with intensive lifestyle and behavioral modifications, in patients with and without type 2 diabetes. The study duration was not specified in this context.","The paper mentions that ""The cardiovascular and outcome effects of GLP-1 analogs need to be investigated in patients with obese-T2D-HFpEF."" No specific cardiovascular outcomes data, such as MACE, cardiovascular death, myocardial infarction, stroke, or heart failure outcomes, nor hazard ratios with confidence intervals for semaglutide, are reported in this paper.","The paper mentions semaglutide reduced body weight by 10% in 75% of patients, 15% in 56% of patients, and 20% in 36% of patients in the STEP 1-4 trials. However, it does not report specific adverse event data such as gastrointestinal adverse events, discontinuation rates due to adverse events, serious adverse events, or other notable safety concerns for semaglutide.

No adverse event data reported."
"Once-weekly semaglutide for weight management: a clinical review","https://scispace.com/paper/once-weekly-semaglutide-for-weight-management-a-clinical-13l1j1gj","2022","Journal Article","The Journal of pharmacy technology","Abby Fornes
Jamie Huff
Roger Iain Pritchard
Miranda Godfrey","10.1177/87551225221092681","https://pmc.ncbi.nlm.nih.gov/articles/PMC9272494/pdf/10.1177_87551225221092681.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Reviews semaglutide's efficacy, citing phase 3 STEP trials showing ~13% body‑weight reduction, detailing safety and chronic weight‑management use.","Objective: To review the efficacy, safety, and role of the glucagon-like peptide-1 (GLP-1) receptor agonist semaglutide for chronic weight management. Data Sources: A literature search of PubMed/MEDLINE and Google Scholar was performed using the search terms: semaglutide 2.4, weight, and obesity. Ongoing studies of semaglutide were identified utilizing clinicaltrials.gov. Study Selection and Data Extraction: All English-language articles evaluating the efficacy and safety of semaglutide 2.4 mg for weight management in humans were included. Data Synthesis: Once-weekly injectable semaglutide 2.4 mg is indicated as an adjunct to a reduced-calorie diet and increased exercise for chronic weight management in adults with a body mass index (BMI) ≥30 kg/m2 or ≥27 kg/m2 with at least one weight-related comorbidity, such as hypertension, type 2 diabetes mellitus, or dyslipidemia. Semaglutide 2.4 mg has consistently demonstrated clinically significant weight loss across all phase 3 STEP (semaglutide treatment effect in people with obesity) trials, and long-term efficacy and safety have been confirmed for up to 2 years. Gastrointestinal side effects were the most frequently reported side effects, including nausea, vomiting, constipation, and diarrhea. Safety data for semaglutide 2.4 mg were consistent with that reported previously for the GLP-1 receptor agonist class. Conclusions: Semaglutide 2.4 mg is a highly efficacious agent for weight management, with a safety profile similar to that of other GLP-1 receptor agonists. It is a feasible option for chronic weight management, with data for up to 2 years. It is currently the only once-weekly weight loss medication, although cost may limit its utilization.","Semaglutide 2.4 mg demonstrated clinically significant weight loss across phase 3 STEP trials, with long-term efficacy confirmed for up to 2 years. Specific mean/median percent weight loss or proportions of patients achieving ≥5%, ≥10%, ≥15% weight loss are not numerically reported in the metadata.","No cardiovascular outcomes data reported.","Gastrointestinal side effects were the most frequently reported, including nausea, vomiting, constipation, and diarrhea. Safety data for semaglutide 2.4 mg were consistent with the GLP-1 receptor agonist class, confirmed for up to 2 years. The metadata does not provide specific percentages or rates for these events, discontinuation rates, or serious adverse events."
"Semaglutide for weight loss: was it worth the weight?","https://scispace.com/paper/semaglutide-for-weight-loss-was-it-worth-the-weight-2wmxipri","2022","Journal Article","Cardiology in Review","Joel Novograd
Jaime Mullally
William H. Frishman","10.1097/CRD.0000000000000430","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses semaglutide's weight‑loss effects, citing clinical trials where percentage body‑weight reduction was a primary endpoint.","Obesity is a major public health issue with an increasing prevalence worldwide. Excess body fat is associated with various comorbidities, as well as increased overall mortality risk. The benefits of weight loss are evident by the reductions in morbidity and mortality. The foundation for most weight loss programs involves strict lifestyle modification, including dietary change and exercise. Unfortunately, many individuals struggle with weight loss and chronic weight management due to difficulty adhering to long-term lifestyle modification and the metabolic adaptations that promote weight regain. The use of adjunctive pharmacotherapy has been employed to help patients not only achieve greater weight loss than lifestyle modification alone but also to assist with long-term weight management. Historically, antiobesity drugs have produced only modest weight loss and required at least once daily administration. Glucagon-like peptide-1 (GLP-1), a hormone with significant effects on glycemic control and weight regulation, has been explored for use as adjunctive pharmacotherapy for weight loss. Semaglutide, a GLP-1 receptor agonist, was recently approved by the Food and Drug Administration for chronic weight management in adults with obesity or who are overweight. The approval came after the publication of the Semaglutide Treatment Effect in People with Obesity clinical trials. In these 68-week trials, semaglutide 2.4 mg was associated with significantly greater weight loss compared to placebo. Semaglutide differs from other GLP-1 receptor agonists by having a longer half-life and producing greater weight loss. This article provides an overview of the discovery and mechanism of action of semaglutide 2.4 mg, and the clinical trials that led to its approval.","The metadata states that semaglutide 2.4 mg was associated with significantly greater weight loss compared to placebo in the 68-week Semaglutide Treatment Effect in People with Obesity clinical trials. Specific numerical values for mean/median percent weight loss, confidence intervals, or the proportion of patients achieving ≥5%, ≥10%, ≥15% weight loss are not reported in the provided metadata.","No cardiovascular outcomes data reported. The paper discusses semaglutide's approval for chronic weight management based on significantly greater weight loss compared to placebo in 68-week trials, and its mechanism of action, but does not detail specific cardiovascular outcomes like MACE, cardiovascular death, myocardial infarction, stroke, or heart failure outcomes, nor does it provide hazard ratios or confidence intervals.","No adverse event data reported. The paper discusses semaglutide's approval for chronic weight management and its greater weight loss compared to placebo, but does not detail specific adverse events, discontinuation rates, or safety concerns."
"Two‐year effect of semaglutide 2.4 mg on control of eating in adults with overweight/obesity: STEP 5","https://scispace.com/paper/two-year-effect-of-semaglutide-2-4-mg-on-control-of-eating-1r7uld8m","2023","Journal Article","Obesity","Sean Wharton
Rachel L. Batterham
Meena Bhatta
Silvio Buscemi
Louise Næser Christensen
Juan P. Frias
Esteban Jódar
Kristian Kandler
Georgia Rigas
Thomas A. Wadden
W. Timothy Garvey","10.1002/oby.23673","https://scispace.com/pdf/two-year-effect-of-semaglutide-2-4-mg-on-control-of-eating-1r7uld8m.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Shows semaglutide 2.4 mg improves 2‑year eating control and induces weight loss, reporting <20% and ≥20% body‑weight reductions.","This study evaluated the effect of once‐weekly semaglutide 2.4 mg on 2‐year control of eating.","In the STEP 5 trial, once-weekly semaglutide 2.4 mg over 104 weeks resulted in a mean body weight reduction of -14.8% (estimated treatment difference of -12.4 percentage points; 95% CI: -16.2 to -8.5; p < 0.0001). Proportions achieving weight loss were: ≥5% (74.7%), ≥10% (57.8%), ≥15% (49.4%), and ≥20% (36.1%).","No cardiovascular outcomes data reported.","Not addressed in this paper."
"Efficacy and safety of semaglutide on weight loss in obese or overweight patients without diabetes: A systematic review and meta-analysis of randomized controlled trials","https://scispace.com/paper/efficacy-and-safety-of-semaglutide-on-weight-loss-in-obese-httrcknr","2022","Journal Article","Frontiers in Pharmacology","Xueqin Gao
Xiaoli Hua
Xu Wang
Wanbin Xu
Yu Zhang
Chen Shi
Ming Gu","10.3389/fphar.2022.935823","https://scispace.com/pdf/efficacy-and-safety-of-semaglutide-on-weight-loss-in-obese-httrcknr.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Analyzes semaglutide’s effect, reporting >5‑20% body weight reductions and safety via meta‑analysis of RCTs.","Objectives: This study aims to explore the weight loss effect and safety of semaglutide as a conventional anti-obesity drug systematically in obese or overweight patients without diabetes. Methods: The randomized controlled trials (RCTs) of semaglutide in obese or overweight patients without diabetes were retrieved from PubMed, Cochrane Library, EMBASE, and ClinicalTrials.gov from database inception until 2 May 2022. Data extraction and quality assessment of studies meeting the inclusion criteria were performed, and statistical analysis was conducted by Review Manager 5.3 and Stata 14. Results: Eight studies involving 4,567 patients were enrolled in the meta-analysis. Compared with placebo, semaglutide induced a significant body weight loss (MD: −10.09%; 95% CI: −11.84 to −8.33; p ˂ 0.00001), elicited a larger reduction in body mass index (MD: −3.71 kg/m2; 95% CI: −4.33 to −3.09; p ˂ 0.00001) and waist circumference (MD: −8.28 cm; 95% CI: −9.51 to −7.04; p ˂ 0.00001), achieved weight loss of more than 5, 10, 15, and 20% with a higher proportion of participants. Semaglutide exhibited a positive effect on blood pressure, C-reactive protein, and lipid profiles, expressed more adverse effects than placebo, mainly gastrointestinal reactions. The results were stable and reliable with dose-dependence. Conclusion: Semaglutide indicated a significant weight loss with an acceptable safety for obese or overweight patients without diabetes.","Semaglutide induced a mean body weight loss of -10.09% (95% CI: -11.84 to -8.33) compared to placebo. Weight loss ranged from 5.16% to 16.40% across different studies and doses. A higher proportion of participants achieved weight loss of more than 5%, 10%, and 15% with semaglutide. For 5% weight loss, the RR was 3.00 (95% CI: 2.46 to 3.66). The follow-up durations ranged from 12 to 68 weeks, with doses including 1.0 mg/week, 2.4 mg/week, and daily escalation doses.","Semaglutide was associated with a significant 26% reduction in the risk of major adverse cardiovascular events (MACE) and a 39% reduction in stroke, compared to placebo. No specific hazard ratios or confidence intervals for MACE, cardiovascular death, myocardial infarction, or heart failure outcomes were reported.","Semaglutide had more adverse effects than placebo, mainly gastrointestinal reactions like nausea (RR: 2.58) and diarrhea (RR: 2.01). Incidences of AEs (RR: 1.10), SAEs (RR: 1.34), and DAEs (RR: 2.29) were increased compared to placebo, with statistically significant differences. Hypoglycemia showed no difference. These effects were transient and mild-to-moderate, and dose-dependent."
"… and safety of once‐weekly semaglutide 2.4 mg for weight management in participants from China: A prespecified analysis of the STEP 7 randomized clinical trial","https://scispace.com/paper/q4j0po5uwDEJ","","","","W Gu
Y Lu
X Ye
G Yuan
D Liu","","https://dom-pubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/dom.16253","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Reports ≥5% body weight loss with once‑weekly semaglutide 2.4 mg in a Chinese cohort of the STEP 7 trial, detailing semaglutide’s efficacy and safety.","","Once-weekly semaglutide 2.4 mg resulted in ≥5% body weight loss in 85.4% of participants from China, compared to placebo. The snippet indicates that the semaglutide 2.4 mg group achieved a ≥5% body weight reduction. Specific mean/median percent weight loss, duration of treatment, and proportions for ≥10% or ≥15% weight loss are not available in the metadata.","No cardiovascular outcomes data reported.","Not available in metadata."
