"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Butyrate ameliorates chronic alcoholic central nervous damage by suppressing microglia-mediated neuroinflammation and modulating the microbiome-gut-brain axis.","https://scispace.com/paper/36709599","2023","Journal Article","Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie","Wei
Yu
Zhang
Ren
Guo
Wang
Chen
Li
Zhang
Wang
Liu","10.1016/j.biopha.2023.114308","","Alcohol abuse triggers neuroinflammation, leading to neuronal damage and further memory and cognitive impairment. Few satisfactory advances have been made in the management of alcoholic central nervous impairment. Therefore, novel and more practical treatment options are urgently needed. Butyrate, a crucial metabolite of short-chain fatty acids (SCFAs), has been increasingly demonstrated to protect against numerous metabolic diseases. However, the impact of butyrate on chronic alcohol consumption-induced central nervous system (CNS) lesions remains unknown."
"Polystyrene micro- and nanoparticles exposure induced anxiety-like behaviors, gut microbiota dysbiosis and metabolism disorder in adult mice.","https://scispace.com/paper/37210994","2023","Journal Article","Ecotoxicology and environmental safety","Chen
Xu
Chen
Su
Zhuang
Qiao","10.1016/j.ecoenv.2023.115000","","Plastics have been proven to be a potential threat to the ecosystem, and their toxicity mechanism is still uncertain. In the ecological environment, plastics can be degraded into microplastics (MPs) and nanoplastics (NPs), which can be contaminated and ingested through the food chain. MPs and NPs are associated with severe intestinal injury, intestinal microbiota disorder, and neurotoxicity, but it is still unclear whether MPs- and NPs-induced intestinal microbiota dysbiosis will affect the brain through the gut-brain axis. In the current study, we determined the effects of exposure to polystyrene (PS)-MPs and PS-NPs on anxiety-like behaviors and explored the underlying mechanisms. This study explored the behavioral effects of 30-day and 60-day exposure to PS-NPs and PS-MPs using the open field test (OFT) and elevated plus maze (EPM) test. Behavioral tests showed PS-NPs and PS-MPs treatment remarkedly induced anxiety-like behaviors compared with the control group. Using 16 S rRNA gene sequencing and untargeted metabolomics analyses, we observed that PS-MPs and PS-NPs exposure reduced the beneficial gut microbiota expression level, such as Lachnoclostridium and Lactobacillus, and increased the conditionally pathogenic bacteria expressions level, such as Proteobacteria, Actinobacteria, and Desulfovibrio. In addition, PS-NPs and PS-MPs reduce intestinal mucus secretion and increase intestinal permeability. The results of serum metabonomics suggested that the metabolic pathways, such as ABC transporter pathways, aminoacyl-tRNA biosynthesis, biosynthesis of amino acids, and bile secretion were enriched after PS-NPs and PS-MPs treatment. Besides, neurotransmitter metabolites were also altered by PS-NPs and PS-MPs. It is noteworthy that the correlation analysis showed that the disorder of intestinal microbiota was related to anxiety-like behaviors and neurotransmitter metabolites disorder. The regulation of intestinal microbiota may be a promising treatment strategy for PS-MPs- and PS-NPs-induced anxiety disorder."
"Prevotella copri transplantation promotes neurorehabilitation in a mouse model of traumatic brain injury.","https://scispace.com/paper/38835057","2024","Journal Article","Journal of neuroinflammation","Gu
Yan
Tang
Zhang
Wang
Li
Wang
Zhu
Tang
Zhong
Cheng
Sun
Huang","10.1186/s12974-024-03116-5","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11151605/pdf","The gut microbiota plays a critical role in regulating brain function through the microbiome-gut-brain axis (MGBA). Dysbiosis of the gut microbiota is associated with neurological impairment in Traumatic brain injury (TBI) patients. Our previous study found that TBI results in a decrease in the abundance of Prevotella copri (P. copri). P. copri has been shown to have antioxidant effects in various diseases. Meanwhile, guanosine (GUO) is a metabolite of intestinal microbiota that can alleviate oxidative stress after TBI by activating the PI3K/Akt pathway. In this study, we investigated the effect of P. copri transplantation on TBI and its relationship with GUO-PI3K/Akt pathway."
"Jing An decoction alleviates neuroinflammation in Tourette syndrome by regulating butyrate-mediated microbiota-gut-brain axis.","https://scispace.com/paper/40674913","2025","Journal Article","Phytomedicine : international journal of phytotherapy and phytopharmacology","Kang
Cheng
Guo
Xi
Xiang
Xu
Zhang
Yang
Zhang
Long","10.1016/j.phymed.2025.157009","","Jing An decoction (JA), a traditional Chinese medicine formulation, has demonstrated notable clinical efficacy in the treatment of Tourette syndrome (TS) over the past two decades. The gut-brain axis (GBA) critically regulates neuroinflammation and neurodevelopmental processes, suggesting its potential as a therapeutic target in TS. However, the mechanisms by which JA alleviates TS via the GBA remain unclear."
"Chronic Exposure to Environmentally Relevant Doses of Triphenyl Phosphate Induces Anxiety- and Depression-Like Behaviors in Mice via the Gut-Brain Axis.","https://scispace.com/paper/40619760","2025","Journal Article","Environmental science & technology","Dan
Yuan
Xie
Chen
Chen
Lin
Cai","10.1021/acs.est.5c03124","","Triphenyl phosphate (TPHP) is an emerging endocrine-disrupting chemical that has been widely used as a flame retardant. Although the neurotoxicity of TPHP to aquatic animals had been highlighted in previous studies, its effects on mammals, particularly at environmentally relevant doses (ERDs), have remained largely unknown. In this study, a 28-week mouse model was established to investigate the potential neurotoxicity induced by ERDs of TPHP (0.89 and 9.19 μg/kg/day). The mechanisms underlying gut-brain axis communication were explored using behavioral tests, 16S rRNA sequencing, and multiomics analysis. The results demonstrated that chronic exposure to an ERD of TPHP (9.19 μg/kg/day) significantly reduced the abundance of "
"Gut-brain axis dysfunction mediates neurotoxicity of embryonic p-phenylenediamine exposure in zebrafish.","https://scispace.com/paper/40865224","2025","Journal Article","Journal of hazardous materials","Xu
Pan
Yi
Zheng
Zeng
Lin
Song
Sun
Chen","10.1016/j.jhazmat.2025.139650","","P-phenylenediamine antioxidants (PPDs) are widely used in the rubber industry and are increasingly recognized as environmental contaminants, raising concerns about their potential risks to wildlife and human health. Our present study investigated the neurotoxicity of embryonic exposure to a sublethal concentration (0.05 mg/L) of three PPDs (CPPD, IPPD and 77PD) in zebrafish. Our results showed that PPDs impaired the fish growth and induced distinct behavioral alterations. Specifically, CPPD exposure induced hyperactivity, aggression and social deficit. IPPD caused hyperactivity and loose shoaling behavior. And 77PD led to social deficits and reduced social cohesion. Examination of head tissues indicated elevated oxidative stress markers, altered antioxidant enzyme activities, increased neurotransmitter levels and abnormality of neural markers (Gfap/Olig2) using transgenic zebrafish. Histopathological analyses revealed marked intestinal damage including villus structural distortion and reduced mucus secretion. Integrated head-transcriptome and gut-microbiome analyses elucidated compound-specific molecular mechanisms. CPPD and IPPD significantly affected ocular lens development and visual perception pathways, whereas CPPD and 77PD notably disrupted olfactory sensory signaling and G protein-coupled receptor pathways. 16S rDNA sequence indicated PPDs-induced intestinal flora disorder by changing the composition and structure of intestinal flora, where the decreased Firmicutes to Bacteroidetes ratio may account for the fish growth suppression. Dual-omics integration revealed regulatory interactions between brain metabolic genes and gut microbiota, corroborating elevated gut lysozyme activity and increased inflammatory markers (TGFβ, IL6). These gut disturbances were linked to head gene dysregulations (muc5.3, or109 and apip). Additional antibiotic metronidazole (MTZ) treatment alleviated PPDs-induced zebrafish behavioral changes and suppressed the gut-brain stress response indicators. Our findings demonstrate that embryonic PPD exposure induces neurotoxicity mediated through gut-brain axis disruption, providing critical insights into the ecological risks of PPD pollutants."
"Gut microbes exacerbate systemic inflammation and behavior disorders in neurologic disease CADASIL.","https://scispace.com/paper/37684694","2023","Journal Article","Microbiome","Liu
Men
Guo
Cai
Wu
Gao
Zhong
Guo
Ruan
Chou
Mai
Ping
Jiang
Zhou
Mou
Zhao
Lu","10.1186/s40168-023-01638-3","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10486110/pdf","Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy (CADASIL) is a cerebral small vessel disease that carries mutations in NOTCH3. The clinical manifestations are influenced by genetic and environmental factors that may include gut microbiome."
"Neuro-Signals from Gut Microbiota: Perspectives for Brain Glioma.","https://scispace.com/paper/34199968","2021","Journal Article","Cancers","D'Alessandro
Lauro
Quaglio
Ghirga
Botta
Trettel
Limatola","10.3390/cancers13112810","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8200200/pdf","Glioblastoma (GBM) is the most aggressive form of glioma tumor in adult brain. Among the numerous factors responsible for GBM cell proliferation and invasion, neurotransmitters such as dopamine, serotonin and glutamate can play key roles. Studies performed in mice housed in germ-free (GF) conditions demonstrated the relevance of the gut-brain axis in a number of physiological and pathological conditions. The gut-brain communication is made possible by vagal/nervous and blood/lymphatic routes and pave the way for reciprocal modulation of functions. The gut microbiota produces and consumes a wide range of molecules, including neurotransmitters (dopamine, norepinephrine, serotonin, gamma-aminobutyric acid [GABA], and glutamate) that reach their cellular targets through the bloodstream. Growing evidence in animals suggests that modulation of these neurotransmitters by the microbiota impacts host neurophysiology and behavior, and affects neural cell progenitors and glial cells, along with having effects on tumor cell growth. In this review we propose a new perspective connecting neurotransmitter modulation by gut microbiota to glioma progression."
"Gut microbial GABA imbalance emerges as a metabolic signature in mild autism spectrum disorder linked to overrepresented Escherichia.","https://scispace.com/paper/39809266","2025","Journal Article","Cell reports. Medicine","Wang
Jiang
Jiang
Pan
Yang
Fang
Liang
Li
Dong
Fan
Ma
Zhang
Li
He
Li","10.1016/j.xcrm.2024.101919","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11866488/pdf","Gut microbiota (GM) alterations have been implicated in autism spectrum disorder (ASD), yet the specific functional architecture remains elusive. Here, employing multi-omics approaches, we investigate stool samples from two distinct cohorts comprising 203 children with mild ASD or typical development. In our screening cohort, regression-based analysis for metabolomic profiling identifies an elevated γ-aminobutyric acid (GABA) to glutamate (Glu) ratio as a metabolic signature of ASD, independent of age and gender. In the validating cohort, we affirm the GABA/Glu ratio as an ASD diagnostic indicator after adjusting for geography, age, gender, and specific food-consuming frequency. Integrated analysis of metabolomics, 16S rRNA sequencing, and metagenomics reveals a correlation between overrepresented Escherichia and disrupted GABA metabolism. Furthermore, we observe social behavioral impairments in weaning mice transplanted with E. coli, suggesting a potential link to ASD symptomatology. Collectively, these findings provide insights into potential diagnostic and therapeutic strategies aimed at evaluating and restoring gut microbial neurotransmitter homeostasis."
"Brain Neurotransmitter Modulation by Gut Microbiota in Anxiety and Depression.","https://scispace.com/paper/33777957","2021","Journal Article","Frontiers in cell and developmental biology","Huang
Wu","10.3389/fcell.2021.649103","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7991717/pdf","Anxiety and depression are highly prevalent mental illnesses worldwide and have long been thought to be closely associated to neurotransmitter modulation. There is growing evidence indicating that changes in the composition of the gut microbiota are related to mental health including anxiety and depression. In this review, we focus on combining the intestinal microbiota with serotonergic, dopaminergic, and noradrenergic neurotransmission in brain, with special emphasis on the anxiety- and depression-like behaviors in stress-related rodent models. Therefore, we reviewed studies conducted on germ-free rodents, or in animals subjected to microbiota absence using antibiotics, as well as via the usage of probiotics. All the results strongly support that the brain neurotransmitter modulation by gut microbiota is indispensable to the physiopathology of anxiety and depression. However, a lot of work is needed to determine how gut microbiota mediated neurotransmission in human brain has any physiological significance and, if any, how it can be used in therapy. Overall, the gut microbiota provides a novel way to alter neurotransmitter modulation in the brain and treat gut-brain axis diseases, such as anxiety and depression."
