"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Weight Loss Outcomes","Cardiovascular Outcomes","Adverse Events"
"Puberdade precoce","https://scispace.com/paper/puberdade-precoce-38q8wmu5","2022","Book Chapter","","","10.51859/amplla.ecc136.1122-19","https://scispace.com/pdf/puberdade-precoce-38q8wmu5.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses liraglutide’s weight loss, cardiovascular benefits, adverse events, citing SCALE and LEADER trial results.","","The SCALE study (2015) compared liraglutide with placebo in 3,731 obese patients without DM type 2 over 56 weeks. It showed a mean weight loss of 8.4 ± 7.3 kg in the intervention group versus 2.8 ± 6.5 kg with placebo. The proportion of individuals losing ≥5% of body weight was 63.2% for liraglutide versus 27.1% for placebo. The dose used was 3 mg/day.","Liraglutide was evaluated in the LEADER study for cardiovascular outcomes in 9,340 individuals with DM type 2. The study observed a reduction in mortality from cardiovascular causes (4.7% vs. 6.0%) and all-cause mortality (8.2% vs. 9.6%) in the liraglutide group compared to placebo. Other specific cardiovascular outcomes like MACE, myocardial infarction, stroke, heart failure, and hazard ratios with confidence intervals are not explicitly reported in this paper.","Liraglutide's main side effects include nausea, vomiting, reflux, dyspepsia, and diarrhea. The LEADER study, which followed 9,340 individuals with type 2 DM for 3.8 years, reported a reduction in mortality from cardiovascular causes (4.7% vs. 6.0%) and all-cause deaths (8.2% vs. 9.6%) in the liraglutide group compared to placebo. It should not be used in pregnant patients or those with a history of medullary thyroid carcinoma or Multiple Endocrine Neoplasia type 2."
"Prediabetes: Why Should We Care?","https://scispace.com/paper/prediabetes-why-should-we-care-3vdugo2gll","2018","Journal Article","Methodist DeBakey cardiovascular journal","Ashkan Zand
Karim Ibrahim
Bhargavi Patham","10.14797/MDCJ-14-4-289","https://scispace.com/pdf/prediabetes-why-should-we-care-3vdugo2gll.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses liraglutide's weight loss, cardiovascular outcomes, and adverse events, citing results from the SCALE and LEADER clinical trials.","A clear link between cardiovascular disease and prediabetes has emerged over the past few years. Recent studies have shown that patients with prediabetes can suffer from coronary artery disease and diastolic heart failure even before progressing to overt diabetes. With this knowledge, physicians must identify prediabetes and take appropriate measures to optimize glycemic control. The pathophysiological defect seen in prediabetes can be managed with lifestyle modifications; thus, it is essential that physicians have a clear understanding of the current recommendations regarding diet and exercise. This review outlines the complications associated with prediabetes, presents an overview of the available pharmacological and surgical therapies that are effective in treating it, and provides a stepwise, multipronged approach for management.","The SCALE Obesity and Prediabetes trial (2,254 participants) showed a significant weight loss of 6.1% for the liraglutide group versus 1.9% for the placebo group (P<.0001) at 160 weeks. The study involved prediabetic individuals with a BMI ≥ 30 kg/m² or > BMI 27 kg/m² with comorbidities. No specific doses or proportions of patients achieving ≥5%, ≥10%, or ≥15% weight loss were reported for liraglutide in this context.","The LEADER trial showed liraglutide reduced the primary endpoint of first occurrence of death from cardiovascular causes, nonfatal MI, or nonfatal stroke (13.0% vs 14.9%; HR 0.87; 95% CI, 0.78-0.97; P < .001 for noninferiority; P = .01 for superiority) in type 2 diabetes patients. Heart failure outcomes were not specifically addressed for liraglutide.","The SCALE Obesity and Prediabetes trial for liraglutide noted a high withdrawal rate of 47% in the liraglutide group, compared to 55% in the placebo group. The study also reported close rates of adverse events (15% vs 13%). No specific gastrointestinal adverse events or serious adverse events were detailed for liraglutide in this paper."
"Osteoporose","https://scispace.com/paper/osteoporose-k1fj0ijc","2022","Book Chapter","","","10.51859/amplla.ecc136.1122-5","https://scispace.com/pdf/osteoporose-k1fj0ijc.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Describes liraglutide’s dosing, weight‑loss results from the SCALE trial, cardiovascular mortality reduction in LEADER, and related adverse events.","","The study ""Liraglutide Effect and Action in Diabetes: Evaluation of Cardiovascular Outcome Results (LEADER)"" with liraglutide 1.8 mg/day over 3.8 years reported a mean weight loss of 8.4 ± 7.3 kg in the intervention group, compared to 2.8 ± 6.5 kg with placebo. The study ""Satiety and Clinical Adiposity – Liraglutide Evidence (SCALE)"" found a greater proportion of patients losing at least 5% of their initial body weight.","The study ""Liraglutide Effect and Action in Diabetes: Evaluation of Cardiovascular Outcome Results (LEADER)"" showed liraglutide reduced mortality from cardiovascular causes (4.7% vs. 6.0%) and all-cause mortality (8.2% vs. 9.6%). No specific data on MACE, myocardial infarction, stroke, or heart failure outcomes, nor hazard ratios with confidence intervals, are reported for liraglutide in this paper.","Liraglutide's main side effects include nausea, vomiting, reflux gastroesophageal, dyspepsia, and diarrhea. The LEADER study observed a reduction in mortality from cardiovascular causes (4.7% vs. 6.0%) and all-cause deaths (8.2% vs. 9.6%) with liraglutide. It should not be used in pregnant patients or those with a personal/family history of medullary thyroid carcinoma or Multiple Endocrine Neoplasia type 2. Pancreatitis risk is controversial."
"Dislipidemia","https://scispace.com/paper/dislipidemia-2nblellw","2022","Book Chapter","","","10.51859/amplla.ecc136.1122-12","https://scispace.com/pdf/dislipidemia-2nblellw.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Describes liraglutide’s mechanism, dosage, and results from SCALE weight‑loss trial and LEADER cardiovascular trial, including efficacy and side‑effects.","","The STORM study showed a mean weight loss of 8.9 kg with sibutramine 10-20 mg over 52 weeks. The SCALE study showed a mean weight loss of 8.4 ± 7.3 kg with liraglutide (dose not specified) vs. 2.8 ± 6.5 kg with placebo over 56 weeks, with 63.2% of liraglutide patients achieving ≥5% weight loss vs. 27.1% with placebo.","The LEADER study (Liraglutide Effect and Action in Diabetes) showed a reduction in cardiovascular mortality (4.7% vs. 6.0%) and all-cause mortality (8.2% vs. 9.6%) with liraglutide. This study followed 9,340 individuals with DM type 2 at high cardiovascular risk for 3.8 years. No specific data on MACE, myocardial infarction, stroke, or heart failure outcomes were reported.","Liraglutide's principal side effects are nausea, vomiting, reflux, dyspepsia, and diarrhea. The paper does not report specific percentages or rates for these gastrointestinal events. It also does not mention discontinuation rates due to adverse events, serious adverse events, or other notable safety concerns for liraglutide."
"Síndrome metabólica","https://scispace.com/paper/sindrome-metabolica-2oth0sdb","2022","Book Chapter","","","10.51859/amplla.ecc136.1122-13","https://scispace.com/pdf/sindrome-metabolica-2oth0sdb.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses liraglutide, detailing weight loss in SCALE trial and cardiovascular mortality reduction in LEADER trial, plus adverse events.","","The SCALE study (2015) reported a mean weight loss of 8.4 ± 7.3 kg in the liraglutide intervention group (dose not explicitly stated for weight loss, but contextually 3 mg/day for obesity treatment) over 56 weeks. It also stated that 63.2% of individuals lost ≥5% of their initial body weight. No data was provided for ≥10% or ≥15% weight loss, nor for median weight loss or confidence intervals.","The LEADER study (Liraglutide Effect and Action in Diabetes: Evaluation of Cardiovascular Outcome Results) showed that liraglutide reduced mortality from cardiovascular causes (4.7% vs. 6.0%) and all-cause mortality (8.2% vs. 9.6%) in patients with DM type 2 and high cardiovascular risk. No specific MACE, myocardial infarction, stroke, or heart failure outcomes, nor hazard ratios with confidence intervals, were reported.","Liraglutide's main side effects include nausea, vomiting, gastroesophageal reflux, dyspepsia, and diarrhea. The LEADER study showed a reduction in cardiovascular mortality (4.7% vs. 6.0%) and all-cause mortality (8.2% vs. 9.6%) with liraglutide. It should not be used in pregnant patients or those with a personal or family history of medullary thyroid carcinoma or Multiple Endocrine Neoplasia type 2. The risk of pancreatitis is controversial."
"Hiperprolactinemias","https://scispace.com/paper/hiperprolactinemias-1y17juux","2022","Book Chapter","","","10.51859/amplla.ecc136.1122-16","https://scispace.com/pdf/hiperprolactinemias-1y17juux.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Describes liraglutide’s dosage, weight‑loss results from the SCALE trial, cardiovascular mortality reduction in LEADER, and common adverse events.","","The SCALE study (2015) showed a mean weight loss of 8.4 ± 7.3 kg with liraglutide, compared to 2.8 ± 6.5 kg with placebo. The treatment duration was 56 weeks. 63.2% of individuals achieved ≥5% weight loss with liraglutide, versus 27.1% with placebo. The dose used was 3 mg/day.","The study ""Liraglutide Effect and Action in Diabetes: Evaluation of Cardiovascular Outcome Results (LEADER)"" showed for liraglutide:
- Reduction in mortality from cardiovascular causes: 4.7% vs. 6.0% (placebo).
- Reduction in deaths from any cause: 8.2% vs. 9.6% (placebo).
No specific data on MACE, myocardial infarction, stroke, heart failure, or hazard ratios with confidence intervals were reported.","Liraglutide's principal side effects are nausea, vomiting, and diarrhea. It should not be used in pregnant patients or those with a personal or family history of medullary thyroid carcinoma and multiple endocrine neoplasia type 2. The greatest risk of pancreatitis associated with the drug is controversial, but its use should be avoided if there is a history or suspicion of this condition."
"Insuficiência adrenal","https://scispace.com/paper/insuficiencia-adrenal-2lixwg2i","2022","Book Chapter","","","10.51859/amplla.ecc136.1122-7","https://scispace.com/pdf/insuficiencia-adrenal-2lixwg2i.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Describes liraglutide’s mechanism, dosage, and reports SCALE weight‑loss results and LEADER cardiovascular mortality reduction, plus adverse events.","","Liraglutide (3.0 mg/day) resulted in a mean weight loss of 8.4 kg after 56 weeks, compared to 2.8 kg with placebo. 63.2% of patients achieved ≥5% weight loss (vs. 27.1% for placebo). The dose was initiated at 0.6 mg/day and increased weekly to a maximum of 3.0 mg/day. No data on ≥10% or ≥15% weight loss was explicitly reported.","The LEADER study (Liraglutide Effect and Action in Diabetes: Evaluation of Cardiovascular Outcome Results) showed a reduction in mortality by cardiovascular causes (4.7% vs. 6.0%) and all-cause deaths (8.2% vs. 9.6%) with liraglutide. The study followed 9,340 individuals with DM type 2 and high cardiovascular risk for 3.8 years. No specific hazard ratios or confidence intervals were reported for these outcomes.","Liraglutide's main side effects include nausea, vomiting, reflux, dyspepsia, and diarrhea. The SCALE study showed 8.4 ± 7.3 kg weight loss for liraglutide versus 2.8 ± 6.5 kg for placebo. It should not be used in pregnant patients or those with a personal/family history of medullary thyroid carcinoma and MEN 2. Pancreatitis risk is controversial."
"Cardiovascular Safety and Superiority of Anti-Obesity Medications.","https://scispace.com/paper/cardiovascular-safety-and-superiority-of-anti-obesity-kz9aty403h","2021","Journal Article","Diabetes, Metabolic Syndrome and Obesity: Targets and Therapy","Muath Alobaida
Abdullah Alrumayh
Ayodipupo Oguntade
Faez Al-Amodi
Mwango Bwalya","10.2147/DMSO.S311359","https://scispace.com/pdf/cardiovascular-safety-and-superiority-of-anti-obesity-kz9aty403h.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Discusses liraglutide’s weight loss benefits and cardiovascular outcomes, citing SCALE obesity trial and LEADER CVOT.","Over the past few decades, several anti-obesity medications have demonstrated an association with adverse cardiovascular outcomes, leading to their market withdrawal. This has caused researchers to investigate the cardiovascular safety of such medications in cardiovascular outcome trials. However, the data from these trials are limited, and their outcomes are not promising. Therefore, the aim of this review is to provide an overview of the current and past Food and Drug Administration-approved medications for weight loss, including novel diabetes medications (glucagon-like peptide 1 receptor agonists and sodium-glucose co-transporter-2 inhibitors) and non-diabetes medications, and to highlight the current designs of cardiovascular outcome trials and their importance in the evaluation of the overall safety concerns associated with these anti-obesity medications. The limitations of the trials and opportunities for improvement were also evaluated. Finally, we also briefly describe cardiovascular safety and risks in this review.","Liraglutide (3.0 mg injection) showed a mean weight loss of -8.4 kg versus -2.8 kg for placebo. 63.2% of patients achieved at least 5% weight loss, and 33.1% lost at least 10% of their weight (P<0.001 for both) in a SCALE obesity and prediabetes RCT. The 1.8 mg dose resulted in a body weight reduction of -2.3 kg (95% CI, 2.5 to 2.0).","Liraglutide (1.8 mg/day) showed superiority over placebo in the primary composite outcome (CV death, non-fatal MI, non-fatal stroke) (13% vs 14.9%, p = 0.01). Patients on liraglutide had a lower risk of CV mortality, all-cause mortality, and microvascular events. The LEADER trial found no differences in heart failure hospitalization between groups. A post-hoc analysis found no association with excessive CV risk.","Not addressed in this paper."
"Cardiovascular safety of liraglutide: Pooled analysis of Major adverse cardiovascular events across weight management and Type 2 Diabetes development programs","https://scispace.com/paper/cardiovascular-safety-of-liraglutide-pooled-analysis-of-4jduu6nj2o","2016","Journal Article","Diabetologie Und Stoffwechsel","Stephan Jacob
T Wehrhahn
I Caterson
Stephen C. Bain
J Gross
J House
A Salisbury
Steven P. Marso
Florian M.M. Baeres
Morten Donsmark","10.1055/S-0036-1580943","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Analyzes pooled cardiovascular outcomes of liraglutide across weight‑loss (including SCALE) and T2D trials, reporting reduced MACE and referencing the upcoming LEADER trial.","The cardiovascular safety of liraglutide in individuals with overweight/obesity and those with type 2 diabetes (T2D) is unknown. A meta-analysis of five phase II/III liraglutide (dose up to 3.0 mg) weight management (WM) trials was performed. Additional sensitivity meta-analyses of 21 liraglutide T2D trials (dose up to 1.8 mg) and a pre-specified pooled analysis of all WM and T2D trials (27 trials; WM+T2D) were also conducted.

The primary endpoint was first occurrence of adjudicated major adverse cardiovascular events (MACE) (non-fatal myocardial infarction, non-fatal stroke or cardiovascular death) with liraglutide (any dose) or pooled total comparator (placebo, active) and analysis was using a Cox proportional hazards model stratified by trial. Prospective adjudication (blinded, independent) was implemented in three of the WM trials; post-hoc adjudication was conducted for all other trials. For WM trials, the observation period was from the first drug dose to the last drug dose plus a 30-day follow-up; for the SCALE Obesity and Prediabetes trial, data to October 1, 2014 were included.

For WM trials (liraglutide: n=3,872; comparator: n=2,036), baseline characteristics were: 71% women; history of CV disease, 9%; mean age, 47 yrs; mean BMI, 38 kg/m2. For T2D trials (liraglutide: n=5,511; comparator: n=2,748): 43% women; history of CV disease, 13%; mean age, 56 yrs; mean BMI, 30 kg/m2.

In WM trials (n=20 events), the hazard ratio (HR) \[95% confidence interval (CI)] for MACE (liraglutide/comparator) was 0.45 [0.18; 1.10\] (Figure 1A). In T2D trials (n=49 events), the HR was 0.64 \[0.35, 1.15\] (Figure 1A). For the WM+T2D analysis (n=69 events), the HR was 0.57 \[0.35, 0.94\] (Figure 1B).

In a pooled analysis of WM+T2D trials, MACE was significantly lower in patients treated with liraglutide. The dedicated cardiovascular outcomes trial, LEADER, will provide further insights into the cardiovascular safety of liraglutide.

 ![][1] [1]: /embed/graphic-1.gif","No weight loss data reported. The paper focuses on major adverse cardiovascular events (MACE) and provides baseline characteristics like mean BMI, but does not report specific percent body weight reduction data for liraglutide or comparator groups.","*   **MACE (Major Adverse Cardiovascular Events):**
    *   WM trials: HR 0.45 [0.18; 1.10] (20 events)
    *   T2D trials: HR 0.64 [0.35, 1.15] (49 events)
    *   WM+T2D analysis: HR 0.57 [0.35, 0.94] (69 events)
*   **Cardiovascular death, non-fatal myocardial infarction, non-fatal stroke:** These are components of MACE. Specific separate HRs are not provided.
*   **Heart failure outcomes:** Not available in metadata.","No adverse event data reported."
"Effect of Liraglutide on Cardiovascular Events in Patients With Type 2 Diabetes Mellitus and Polyvascular Disease: Results of the LEADER Trial.","https://scispace.com/paper/effect-of-liraglutide-on-cardiovascular-events-in-patients-bt3260wnji","2018","Journal Article","Circulation","Subodh Verma
Deepak L. Bhatt
Stephen C. Bain
John B. Buse
Johannes F.E. Mann
Steven P. Marso
Michael A. Nauck
Neil Poulter
Richard E. Pratley
Bernard Zinman
Marie M. Michelsen
Tea Monk Fries
Søren Rasmussen
Lawrence A. Leiter","10.1161/CIRCULATIONAHA.118.033898","https://scispace.com/pdf/effect-of-liraglutide-on-cardiovascular-events-in-patients-bt3260wnji.pdf","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Evaluates liraglutide's impact on cardiovascular events in the LEADER trial, showing reduced MACE; does not discuss the SCALE trial.","The presence of polyvascular disease, defined as atherosclerosis involving >1 distinct vascular territory, is a strong, independent predictor of cardiovascular events.1–4 In the LEADER trial (Liraglutide Effect and Action in Diabetes: Evaluation of Cardiovascular Outcome Results),5 the human glucagon-like peptide 1 analog liraglutide reduced cardiovascular events in patients with type 2 diabetes mellitus at high cardiovascular risk. In this post hoc analysis of LEADER, we evaluated the effects of liraglutide stratified by a number of atherosclerotic vascular territories (coronary, cerebrovascular, and peripheral).

LEADER (ClinicalTrials.gov, NCT01179048) was a randomized trial of liraglutide (1.8 mg or maximum tolerated dose) versus placebo in 9340 patients with type 2 diabetes mellitus and high cardiovascular risk (median follow-up, 3.8 years).5 The primary outcome was a composite of cardiovascular death, nonfatal myocardial infarction, or nonfatal stroke (major adverse cardiovascular events [MACE]). The key secondary expanded outcome (expanded MACE) also included hospitalization for unstable angina, coronary revascularization, or hospitalization for heart failure.

The ethics committee or institutional review board at each participating center approved the trial protocol. Patients provided informed consent. Cardiovascular outcomes were prospectively adjudicated by an independent, blinded event adjudication committee. Atherosclerotic vascular territories included coronary (myocardial infarction, ≥50% coronary artery stenosis, percutaneous coronary intervention or coronary artery bypass graft surgery, angina pectoris, or asymptomatic ischemia), cerebrovascular (stroke, transient ischemic attack, ≥50% intracranial or carotid artery stenosis), and peripheral (≥50% peripheral artery stenosis) arteries. Information was extracted from patients’ baseline medical history. Risk groups were determined by number of vascular territories involved: polyvascular disease as ≥2, single vascular disease as 1, and a group with no documented atherosclerotic cardiovascular disease (ASCVD).

The hazard ratios (HRs) comparing risk groups were calculated using a Cox proportional hazards model with treatment and risk group as factors. The treatment effect of liraglutide versus …","Not addressed in this paper.","Liraglutide reduced primary MACE (HR 0.87, 95% CI 0.78-0.97), expanded MACE (HR 0.88, 95% CI 0.81-0.96), cardiovascular death (HR 0.78, 95% CI 0.66-0.93), non-fatal MI (HR 0.88, 95% CI 0.75-1.03), and non-fatal stroke (HR 0.89, 95% CI 0.72-1.11) in the total trial population. Hospitalization for heart failure was part of expanded MACE.","Not addressed in this paper."
"Effects of liraglutide on cardiovascular outcomes in patients with diabetes with or without heart failure","https://scispace.com/paper/effects-of-liraglutide-on-cardiovascular-outcomes-in-2smcx0fziq","2020","Journal Article","Journal of the American College of Cardiology","Steven P. Marso
Florian M.M. Baeres
Stephen C. Bain
Bryan Goldman
Mansoor Husain
Michael A. Nauck
Neil R Poulter
Richard E. Pratley
Anne B. Thomsen
John B. Buse
Leader Trial Investigators","10.1016/J.JACC.2019.12.063","https://cronfa.swan.ac.uk/Record/cronfa53812/Download/53812__16837__fffdd667baa94b25932005d86f2b85a8.pdf","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Analyzes liraglutide’s impact on cardiovascular outcomes and weight loss, citing LEADER trial data; does not mention the SCALE trial.","","No weight loss data reported.","The paper's title is ""Effects of liraglutide on cardiovascular outcomes in patients with diabetes with or without heart failure."" The snippet mentions ""analysis of LEADER data indicate that liraglutide should be..."" and ""Another randomized clinical trial, involving participants with..."". However, specific numerical data for MACE, cardiovascular death, myocardial infarction, stroke, heart failure outcomes, hazard ratios, or confidence intervals are not available in the provided metadata.","Not available in metadata."
"Efficacy of Liraglutide for Weight Loss Among Patients With Type 2 Diabetes The SCALE Diabetes Randomized Clinical Trial","https://scispace.com/paper/efficacy-of-liraglutide-for-weight-loss-among-patients-with-1so87q78gd","2015","Journal Article","JAMA","Melanie J. Davies
Richard M. Bergenstal
Bruce W. Bode
Robert F. Kushner
Andrew Lewin
Trine Vang Skjøth
Arne Haahr Andreasen
Christine B. Jensen
Ralph A. DeFronzo","10.1001/JAMA.2015.9676","https://scispace.com/pdf/efficacy-of-liraglutide-for-weight-loss-among-patients-with-1so87q78gd.pdf","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Evaluates liraglutide's weight‑loss efficacy and safety in the SCALE Diabetes trial, reporting significant reductions and gastrointestinal adverse events.","Importance Weight loss of 5% to 10% can improve type 2 diabetes and related comorbidities. Few safe, effective weight-management drugs are currently available. Objective To investigate efficacy and safety of liraglutide vs placebo for weight management in adults with overweight or obesity and type 2 diabetes. Design, Setting, and Participants Fifty-six–week randomized (2:1:1), double-blind, placebo-controlled, parallel-group trial with 12-week observational off-drug follow-up period. The study was conducted at 126 sites in 9 countries between June 2011 and January 2013. Of 1361 participants assessed for eligibility, 846 were randomized. Inclusion criteria were body mass index of 27.0 or greater, age 18 years or older, taking 0 to 3 oral hypoglycemic agents (metformin, thiazolidinedione, sulfonylurea) with stable body weight, and glycated hemoglobin level 7.0% to 10.0%. Interventions Once-daily, subcutaneous liraglutide (3.0 mg) (n = 423), liraglutide (1.8 mg) (n = 211), or placebo (n = 212), all as adjunct to 500 kcal/d dietary deficit and increased physical activity (≥150 min/wk). Main Outcomes and Measures Three coprimary end points: relative change in weight, proportion of participants losing 5% or more, or more than 10%, of baseline weight at week 56. Results Baseline weight was 105.7 kg with liraglutide (3.0-mg dose), 105.8 kg with liraglutide (1.8-mg dose), and 106.5 kg with placebo. Weight loss was 6.0% (6.4 kg) with liraglutide (3.0-mg dose), 4.7% (5.0 kg) with liraglutide (1.8-mg dose), and 2.0% (2.2 kg) with placebo (estimated difference for liraglutide [3.0 mg] vs placebo, −4.00% [95% CI, −5.10% to −2.90%]; liraglutide [1.8 mg] vs placebo, −2.71% [95% CI, −4.00% to −1.42%]; P P P P  = .006). More gastrointestinal disorders were reported with liraglutide (3.0 mg) vs liraglutide (1.8 mg) and placebo. No pancreatitis was reported. Conclusions and Relevance Among overweight and obese participants with type 2 diabetes, use of subcutaneous liraglutide (3.0 mg) daily, compared with placebo, resulted in weight loss over 56 weeks. Further studies are needed to evaluate longer-term efficacy and safety. Trial Registration clinicaltrials.gov Identifier:NCT01272232","- Liraglutide (3.0 mg) resulted in a mean weight loss of 6.0% (6.4 kg) over 56 weeks.
- Liraglutide (1.8 mg) resulted in a mean weight loss of 4.7% (5.0 kg) over 56 weeks.
- 54.3% of patients on liraglutide (3.0 mg) achieved ≥5% weight loss (95% CI, 24.6%-41.2% difference vs placebo).
- 25.2% of patients on liraglutide (3.0 mg) achieved >10% weight loss (95% CI, 12.7%-24.4% difference vs placebo).
- Proportion for ≥15% weight loss not explicitly reported.","The paper reports that adjudication-confirmed major adverse cardiovascular events (MACE) were low: 2 events (0.5%) for liraglutide (3.0 mg) and 3 events (1.4%) for liraglutide (1.8 mg) and placebo. One participant in the liraglutide (1.8 mg) group died after 44 days off drug, attributed to pulmonary embolism and thromboembolic stroke. No other specific MACE, cardiovascular death, myocardial infarction, stroke, or heart failure outcomes, hazard ratios, or confidence intervals are detailed.","Liraglutide (3.0 mg) showed higher gastrointestinal adverse events: nausea (32.7%), vomiting (15.6%), and diarrhea (25.6%). Adverse events led to withdrawal in 9.2% (3.0 mg) and 8.6% (1.8 mg) of participants. Serious adverse events occurred in 8.8% (3.0 mg) and 8.6% (1.8 mg). No pancreatitis was reported. Heart rate increases were observed, and hypoglycemic episodes were more frequent with liraglutide."
"Cardiovascular Risk Reduction With Liraglutide: An Exploratory Mediation Analysis of the LEADER Trial.","https://scispace.com/paper/cardiovascular-risk-reduction-with-liraglutide-an-1sprfw1702","2020","Journal Article","Diabetes Care","John B. Buse
Stephen C. Bain
Johannes F.E. Mann
Michael A. Nauck
Steven E. Nissen
Stuart J. Pocock
Neil R Poulter
Richard E. Pratley
Martin Linder
Tea Monk Fries
David D. Ørsted
Bernard Zinman","10.2337/DC19-2251","https://scispace.com/pdf/cardiovascular-risk-reduction-with-liraglutide-an-1sprfw1702.pdf","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Analyzes liraglutide’s CV benefit using LEADER trial data, identifying HbA1c and UACR as mediators of cardiovascular outcomes.","OBJECTIVE The LEADER trial (ClinicalTrials.gov reg. no. NCT01179048) demonstrated a reduced risk of cardiovascular (CV) events for patients with type 2 diabetes who received the glucagon-like peptide 1 receptor agonist liraglutide versus placebo. The mechanisms behind this CV benefit remain unclear. We aimed to identify potential mediators for the CV benefit observed with liraglutide in the LEADER trial. RESEARCH DESIGN AND METHODS We performed exploratory analyses to identify potential mediators of the effect of liraglutide on major adverse CV events (MACE; composite of CV death, nonfatal myocardial infarction, or nonfatal stroke) from the following candidates: glycated hemoglobin (HbA1c), body weight, urinary albumin-to-creatinine ratio (UACR), confirmed hypoglycemia, sulfonylurea use, insulin use, systolic blood pressure, and LDL cholesterol. These candidates were selected as CV risk factors on which liraglutide had an effect in LEADER such that a reduction in CV risk might result. We used two methods based on a Cox proportional hazards model and the new Vansteelandt method designed to use all available information from the mediator and to control for confounding factors. RESULTS Analyses using the Cox methods and Vansteelandt method indicated potential mediation by HbA1c (up to 41% and 83% mediation, respectively) and UACR (up to 29% and 33% mediation, respectively) on the effect of liraglutide on MACE. Mediation effects were small for other candidates. CONCLUSIONS These analyses identify HbA1c and, to a lesser extent, UACR as potential mediators of the CV effects of liraglutide. Whether either is a marker of an unmeasured factor or a true mediator remains a key question that invites further investigation.","The LEADER trial found that liraglutide reduced body weight with an estimated treatment difference (ETD) of -2.3 kg (95% CI: -2.5; -2.0) compared to placebo, based on change from baseline to 36 months (Table 1). The dose used was 1.8 mg or maximum tolerated dose. The paper does not report mean/median *percent* weight loss or the proportion of patients achieving specific percentage weight loss thresholds.","Liraglutide reduced the risk of CV events, all-cause mortality, and renal events (p. 2). For MACE, the HR was 0.87 (95% CI 0.78; 0.97) (p. 3). The paper also mentions HbA1c as a predictor of all-cause death, myocardial infarction, stroke, and heart failure (p. 5). Specific HRs for individual components like myocardial infarction or stroke were not explicitly reported in the provided text.","Not addressed in this paper."
"Liraglutide 3.0 mg and Intensive Behavioral Therapy (IBT) for Obesity in Primary Care: The SCALE IBT Randomized Controlled Trial.","https://scispace.com/paper/32090517","2020","Journal Article","Obesity (Silver Spring, Md.)","Wadden
Tronieri
Sugimoto
Lund
Auerbach
Jensen
Rubino","10.1002/oby.22726","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7065111/pdf","- **Relevance Score:** 90/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Shows liraglutide combined with intensive behavioral therapy yields weight loss in the SCALE IBT randomized trial; no mention of LEADER.","Previous studies have shown additive weight loss when intensive behavioral therapy (IBT) was combined with weight-loss medication. The present multisite study provides the first evaluation, in primary care, of the effect of the Centers for Medicare and Medicaid Services-based IBT benefit, delivered alone (with placebo) or in combination with liraglutide 3.0 mg.","Not available in metadata.","No cardiovascular outcomes data reported. The paper focuses on liraglutide 3.0 mg and Intensive Behavioral Therapy (IBT) for obesity in primary care, evaluating weight loss effects.","No adverse event data reported."
